attachment	relative_path	governing_banner_or_status	claim_or_mechanical_role	relation_to_own_D0_D5	disposition	notes
A6	archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_DERIVATION_RESULTS.md	FOUNDATIONAL INTERPRETATION SUPERSEDED (2026-07-15)	reverse-engineered deeper-postulate candidate later displaced by Reciprocal-c	historical kinematic candidate only; D0-D5 should not inherit it as live foundation	SUPERSEDED	Algebra inside its premises remains valid; foundational interpretation does not.
A6	archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_FOUNDING_TO_DYNAMICS_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_FOUNDING_TO_DYNAMICS_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_FOUNDING_TO_DYNAMICS_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_ACTION_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_NATIVE_ACTION_NONCOLD_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_NATIVE_ACTION_NONCOLD_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_QUADRATIC_DILATION_COST_DERIVATION_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_QUADRATIC_DILATION_COST_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_QUADRATIC_DILATION_COST_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_DERIVATION_RESULTS.md	SUBSEQUENT METRIC-ONLY RESULT note / earlier F(Y) no-go remains scoped	inverse-variational no-go within regular local first-gradient F(Y) class	supports D0-D5 nonuniqueness only inside that tested class	SUPERSEDED	Later conformal-action branch admits WR-L with C^2=0, so this file cannot stand as a universal no-native-action verdict.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_DERIVATION_RESULTS.md	provisional analytic result / not banked / not canon	historical derivation record with stated premises, gates, and later-status qualifiers	historical analytic claim family checked against D0-D5; confirms or conditions forks rather than closing them by authority	CONDITIONAL	Use only with its own premise ledger, later-update text, and README firewall.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_MAP.md	frozen derivation map / no banking	historical plan, premise ledger, and pre-registered test structure	useful for provenance and claim scoping, not for inheriting conclusions	OUT-OF-SCOPE	Planning artifact; later derivation records and the README govern substantive use.
A6	archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_VERIFY_DISPATCH.md	verification dispatch / no canon or LIVE update authority	historical cold-audit protocol and challenge instructions	mechanical verification scope only	OUT-OF-SCOPE	Protocol text, not passed evidence.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_bootstrap_background_carrier_coupling.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_bootstrap_background_carrier_coupling_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_common_scale_matter_emergence.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_common_scale_matter_emergence_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_csn_boundary_charge_selection.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_csn_boundary_charge_selection_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_csn_dimensionless_action_reference_branch.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
