# STAMP: Stage A2 angular-live pointwise ledger. Contract = PREREGISTRATION.md (frozen first). EVERYTHING-ON within the cleared layers; T^2 stratum (A-L1, full-S^3 TYPED); tri-graded jets <= 2 per direction (A-L2, higher TYPED); time-live-LINE (A-L4); theta ABSENT (A-L5); registered stationary presentation (general arenas TYPED); polynomial/formal in (k10,C); BOTH lock-reading AND BOTH spatial-reading branches carried at the same depth; mode decomposition Category-A; no response law selected, no fork resolved, no solve, no angular cycle census (Stage A3's contract; F-P1 honored).
# STAMP: layered character rule (TP2-1/TP2-2): K4 ((t,y,z) spectators) x T^2-translations (bare angles excluded; mode grading slack-stable) x METRIC-LAYER T-parity Z2 (conditional, banked T2) x ANGULAR-MIRROR Z2 x Z2 (conditional, granted-only, bridge floor G18; pairs +n/-n modes) x STRATUM N-parity Z2 (psi-branch, lock-coordinate reading, banked T2) x STRATUM m-involution Z2 (chi-branch, spatial-coordinate reading, NEW). Resonance-locus contacts: OPEN-PENDING-CENSUS.
# STAMP: mode_zero_restriction column = the C-1 identity (mechanical vs banked TIMELIVE_T2_LEDGER.tsv + timelive_T2_results.json); static_restriction_transitive column = the C-2 identity (mechanical vs banked routeA_stage2_results.json).
row	kind	content	character	tag	mode_zero_restriction	static_restriction_transitive	basis_checks
R_N_x	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity odd (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; lock branches as banked T2 (R_N: physical vs chart-slack, TU2h; now slack-coupled to the angular legs, P2f)	trivial	DERIVED	T2 component recovered (C1a)	killed (N=0 diagonal premise)	P1i;P2b;P2c;P2f;P2g;P2j
R_N_y	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity odd (metric layer, conditional); angular-mirror parity y:odd/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; lock branches as banked T2 (R_N: physical vs chart-slack, TU2h; now slack-coupled to the angular legs, P2f)	trivial	DERIVED	T2 component recovered (C1a)	killed (N=0 diagonal premise)	P1i;P2b;P2c;P2f;P2g;P2j
R_N_z	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity odd (metric layer, conditional); angular-mirror parity y:even/z:odd (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; lock branches as banked T2 (R_N: physical vs chart-slack, TU2h; now slack-coupled to the angular legs, P2f)	trivial	DERIVED	T2 component recovered (C1a)	killed (N=0 diagonal premise)	P1i;P2b;P2c;P2f;P2g;P2j
R_m_y	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:odd/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution odd [A-2, verifier round 1: exact on g_yz=0 / eigenbasis; general action flip-and-shear; B^-1-pairing = the invariant] on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; coordinate spatial branch: physical content; projected spatial branch: chart-slack pairing (P2f x-slope legs b = B R_m + N_ang R_N_x)	trivial	DERIVED	ABSENT-from-T2 (m frozen; killed at mode zero + block-diagonal x-angular premise)	killed (block-diagonal premise)	P1i;P2b;P2c;P2f;P2g;P2j
R_m_z	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:odd (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even [A-2, verifier round 1: exact on g_yz=0 / eigenbasis; general action flip-and-shear; B^-1-pairing = the invariant] on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; coordinate spatial branch: physical content; projected spatial branch: chart-slack pairing (P2f x-slope legs b = B R_m + N_ang R_N_x)	trivial	DERIVED	ABSENT-from-T2 (m frozen; killed at mode zero + block-diagonal x-angular premise)	killed (block-diagonal premise)	P1i;P2b;P2c;P2f;P2g;P2j
R_wall	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	trivial	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_corner	COMPONENT	K4 char trivial ((t,y,z) spectators); T-parity even (metric layer, conditional); angular-mirror parity y:even/z:even (GRANTED-ONLY, bridge floor G18; pairs +n/-n modes); m-involution even on chi-branch strata (coordinate spatial reading); module over the tri-graded mode-uniform alphabet; reading-unchanged on all four branch-pairs	trivial	DERIVED	T2 component recovered (C1a)	banked static component recovered (C2a)	P1i;P2b;P2c;P2f;P2g;P2j
R_timewall_branch_c_only	COMPONENT	branch-(c) TYPED slot only (no content populated)	typed	TYPED	T2 typed slot recovered	absent statically	-
R_timecorner_branch_c_only	COMPONENT	branch-(c) TYPED slot only (no content populated)	typed	TYPED	T2 typed slot recovered	absent statically	-
(constraint) ANGULAR-MIRROR parity layer	CONSTRAINT	components angular-parity-matched (Z2 x Z2) to their paired directions WHERE THE MIRRORS ARE GRANTED: y-mirror (delta f, delta N_y, delta m_y odd), z-mirror (delta f, delta N_z, delta m_z, [delta alpha] odd); CONDITIONAL: metric layer only, bridge floor (G18, no closure status; coframe layer SO+-obstructed — admitting = CHOSE); mirrors negate modes: the cut pairs +n/-n sectors; NOT part of the banked T2/static cut set (new conditional content; see P3b for its mode-zero reach)	Z2xZ2	DERIVED (conditional)	does NOT vacate at mode zero (P3b)	not in the banked static cut set	P1i;A1f;A1e2;A3e
(constraint) STRATUM m-involution	CONSTRAINT	components matched under the chi-branch involution m -> (-m_y, m_z - 2 g_yz m_y/g_yy) on its lawful strata (branch slope angular/t-independent, x-integrable; clean m_y-flip on g_yz = 0); coordinate spatial reading only; DISCRETE character cut, no Noether identity; joint conic family CONTINUOUS with invariant m^T B^{-1} m — equivariance beyond the Z2 slice TYPED; [A-1, verifier round 1: the joint conic also contains the discrete zeta-only slice s = (0, -2 m_z/g_zz) acting as the lawful involution m -> (m_y - 2 g_yz m_z/g_zz, -m_z), preserving m^T B^-1 m — the discrete-slice census is TYPED, not exhausted]; per-witness stratum stamps (P2d)	Z2	DERIVED (stratum-conditional)	vacuous at mode zero + m = 0 (level set {0})	vacuous statically (m = 0)	P2e;P2d;A1i2
(constraint) slack-pairing legs (projected readings)	CONSTRAINT	exact legs: drag a_angle = sum_A R_A d_angle A; x-slopes b_x = B R_m + N_ang R_N_x; t-slopes b_t = B R_N_ang + N_ang (e^{2phi}/c_E^2) R_phi; divergence identity between drag and slope legs = INTEGRATION layer (posed, typed, never imposed pointwise); coordinate readings: same legs = J07 overlap-transport, no identity owed	-	DERIVED	restricts to TU2h legs (a, b = R_N g_tt) at mode zero	vacuous statically (diagonal premise)	P2f
(constraint) STRATUM-IDENTITY kmod0	CONSTRAINT	-2 k10 r_tf + m00 c10 + m01 c11 - m10 c00 - m11 c01 = 0 on k_mod = 0 — EXTENDS VERBATIM angular-live: no angular components, no split (delta_gauge N = 0 banked; delta_gauge m = 0 P2b; field sector zero); ONE pointwise identity, convolution-graded per mode (no mode-diagonal split); identical on all four reading branch-pairs	chi_a-graded	DERIVED	banked T2/static cut recovered (C1/C2)	banked cut recovered (C2a)	P3d;P3e
(constraint) resonance locus	CONSTRAINT	banked content cited (four named C=0 strata auto-satisfied; C!=0 shear example; deeper TYPED-NOT-EXHAUSTED); angular-live fate stamped OPEN-PENDING-CENSUS — NOT adjudicated	-	CITED	banked citation unchanged	banked cut recovered (C2a)	P3f
alphabet tri-graded	ALPHABET	blocks: Q (forced unique phi-channel, MODE-UNIFORM — P1a/P1c) + tri-graded jets of (phi,f,bh) <= 2 per direction (A-L2) + N row + m row (O19) + their jets + moduli (const reading; field readings typed) + wall/corner data + NO bare t (banked TU1e) + NO bare angles (A1n/P1j) + NO bare phi (banked); mode grading slack-stable (P1e); y-leg jets anchor-overlap-invariant, z-leg anchored combination (d_z phi)/c_E (P1d)	-	DERIVED	restricts to T2 bigraded alphabet (angular order 0)	restricts to banked static alphabet (C2a dims)	P1a;P1b;P1c;P1d;P1e;P1j
alphabet presentations	ALPHABET	coordinate blocks (d_x-jets, g_xx, v=(N_x,m_y,m_z)) <-> invariant blocks (D_x-jets, gamma_xx^full = 1/g^xx, v/overlap) with D_x = d_x - v^T G3^{-1} d_(t,y,z) derived joint-slack-invariant (P1f; unifies TU1f + A4a) + fiber-corrected D_y = d_y - (g_yz/g_zz) d_z zeta-invariant with chain-rule h-cocycle (P1g); triangular-invertible (P1h)	-	DERIVED	restricts to T2 presentations row (D_x -> d_x - (N/g_tt) d_t)	identical statically (D_x = d_x at v = 0)	P1f;P1g;P1h
