completion_id	causal_class	local_structure	connection_behavior	geometric_transport	completion_constraint	field_witness_status	selection
FC03_TWO_CAP_P0	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC03_TWO_CAP_P0	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC03_TWO_CAP_P0	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC03_TWO_CAP_P0	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC03_TWO_CAP_P0	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC04_TWO_CAP_P1	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC04_TWO_CAP_P1	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC04_TWO_CAP_P1	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC04_TWO_CAP_P1	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC04_TWO_CAP_P1	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC05_TWO_CAP_P_GT1	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC05_TWO_CAP_P_GT1	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC05_TWO_CAP_P_GT1	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC05_TWO_CAP_P_GT1	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC05_TWO_CAP_P_GT1	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	COMPACT_STATIC_REAL_SCALAR_FORCES_ZERO_DPHI;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC06_NONPRIMITIVE_CAP	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	TRUE_SINGULAR_STRATUM_BLOCKS_CONSTRUCTION;REGULAR_COMPLEMENT_ONLY	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC06_NONPRIMITIVE_CAP	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	TRUE_SINGULAR_STRATUM_BLOCKS_CONSTRUCTION;REGULAR_COMPLEMENT_ONLY	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC06_NONPRIMITIVE_CAP	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	TRUE_SINGULAR_STRATUM_BLOCKS_CONSTRUCTION;REGULAR_COMPLEMENT_ONLY	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC06_NONPRIMITIVE_CAP	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	TRUE_SINGULAR_STRATUM_BLOCKS_CONSTRUCTION;REGULAR_COMPLEMENT_ONLY	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC06_NONPRIMITIVE_CAP	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	TRUE_SINGULAR_STRATUM_BLOCKS_CONSTRUCTION;REGULAR_COMPLEMENT_ONLY	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC07_PERIODIC_TORUS_BUNDLE	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	PERIODIC_STATIC_REAL_SCALAR_FORCES_CRITICAL_POINT;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC07_PERIODIC_TORUS_BUNDLE	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	PERIODIC_STATIC_REAL_SCALAR_FORCES_CRITICAL_POINT;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC07_PERIODIC_TORUS_BUNDLE	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	PERIODIC_STATIC_REAL_SCALAR_FORCES_CRITICAL_POINT;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC07_PERIODIC_TORUS_BUNDLE	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	PERIODIC_STATIC_REAL_SCALAR_FORCES_CRITICAL_POINT;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC07_PERIODIC_TORUS_BUNDLE	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	PERIODIC_STATIC_REAL_SCALAR_FORCES_CRITICAL_POINT;TIMELIVE_NONNULL_OPEN	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC08_MIRROR_DOUBLE	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	EVEN_SCALAR_NORMAL_DERIVATIVE_ZERO;ODD_DOUBLE_NEEDS_SIGN_TWIST_TO_QUOTIENT	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC08_MIRROR_DOUBLE	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	EVEN_SCALAR_NORMAL_DERIVATIVE_ZERO;ODD_DOUBLE_NEEDS_SIGN_TWIST_TO_QUOTIENT	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC08_MIRROR_DOUBLE	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	EVEN_SCALAR_NORMAL_DERIVATIVE_ZERO;ODD_DOUBLE_NEEDS_SIGN_TWIST_TO_QUOTIENT	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC08_MIRROR_DOUBLE	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	EVEN_SCALAR_NORMAL_DERIVATIVE_ZERO;ODD_DOUBLE_NEEDS_SIGN_TWIST_TO_QUOTIENT	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC08_MIRROR_DOUBLE	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	EVEN_SCALAR_NORMAL_DERIVATIVE_ZERO;ODD_DOUBLE_NEEDS_SIGN_TWIST_TO_QUOTIENT	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC09_NONORIENTABLE_GLUE	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	PROJECTOR_MAY_DESCEND_WITH_LINE;ORDINARY_HODGE_REQUIRES_ORIENTATION_TWIST	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC09_NONORIENTABLE_GLUE	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	PROJECTOR_MAY_DESCEND_WITH_LINE;ORDINARY_HODGE_REQUIRES_ORIENTATION_TWIST	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC09_NONORIENTABLE_GLUE	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	PROJECTOR_MAY_DESCEND_WITH_LINE;ORDINARY_HODGE_REQUIRES_ORIENTATION_TWIST	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC09_NONORIENTABLE_GLUE	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	PROJECTOR_MAY_DESCEND_WITH_LINE;ORDINARY_HODGE_REQUIRES_ORIENTATION_TWIST	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC09_NONORIENTABLE_GLUE	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	PROJECTOR_MAY_DESCEND_WITH_LINE;ORDINARY_HODGE_REQUIRES_ORIENTATION_TWIST	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC10_STRATIFIED_PROJECTOR	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	OTHER_PROJECTOR_STRATA_DO_NOT_DETERMINE_DPHI_STRATA	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC10_STRATIFIED_PROJECTOR	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	OTHER_PROJECTOR_STRATA_DO_NOT_DETERMINE_DPHI_STRATA	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC10_STRATIFIED_PROJECTOR	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	OTHER_PROJECTOR_STRATA_DO_NOT_DETERMINE_DPHI_STRATA	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC10_STRATIFIED_PROJECTOR	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	OTHER_PROJECTOR_STRATA_DO_NOT_DETERMINE_DPHI_STRATA	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC10_STRATIFIED_PROJECTOR	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	OTHER_PROJECTOR_STRATA_DO_NOT_DETERMINE_DPHI_STRATA	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC11_NONINTEGRABLE_DISTRIBUTION	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	OTHER_ANHOLONOMIC_PLANE_DOES_NOT_OBSTRUCT_KERNEL_DPHI	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC11_NONINTEGRABLE_DISTRIBUTION	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	OTHER_ANHOLONOMIC_PLANE_DOES_NOT_OBSTRUCT_KERNEL_DPHI	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC11_NONINTEGRABLE_DISTRIBUTION	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	OTHER_ANHOLONOMIC_PLANE_DOES_NOT_OBSTRUCT_KERNEL_DPHI	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC11_NONINTEGRABLE_DISTRIBUTION	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	OTHER_ANHOLONOMIC_PLANE_DOES_NOT_OBSTRUCT_KERNEL_DPHI	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC11_NONINTEGRABLE_DISTRIBUTION	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	OTHER_ANHOLONOMIC_PLANE_DOES_NOT_OBSTRUCT_KERNEL_DPHI	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC12_RECIPROCAL_TORIC_DIAGONAL	TIMELIKE_NONNULL	CARTAN_3PLUS3_PERSISTS	LC_PRESERVES_IFF_BOOST_EXTRINSIC_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	OPEN_NONNULL_DEPTH_CONTROL;CAP_OR_GLUE_EXTENSION_PROFILE_DEPENDENT	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC12_RECIPROCAL_TORIC_DIAGONAL	SPACELIKE_NONNULL	REAL_3PLUS3_PERSISTS_WITH_SO_PLUS_1_2_INTERPRETATION	LC_PRESERVES_IFF_COMPLEMENT_PART_ZERO;OTHERWISE_MIXES	KATO_AVAILABLE	OPEN_NONNULL_DEPTH_CONTROL;CAP_OR_GLUE_EXTENSION_PROFILE_DEPENDENT	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC12_RECIPROCAL_TORIC_DIAGONAL	NULL_INTERFACE	SEMISIMPLE_3PLUS3_DEGENERATES_TO_NILPOTENT_FILTRATION	NORMALIZED_SPLIT_UNDEFINED	KATO_3PLUS3_UNDEFINED_AT_INTERFACE	OPEN_NONNULL_DEPTH_CONTROL;CAP_OR_GLUE_EXTENSION_PROFILE_DEPENDENT	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC12_RECIPROCAL_TORIC_DIAGONAL	ZERO_INTERFACE	NO_INTRINSIC_LINE_OR_SPLIT	UNDEFINED	NONCANONICAL_CONTINUATION_ONLY	OPEN_NONNULL_DEPTH_CONTROL;CAP_OR_GLUE_EXTENSION_PROFILE_DEPENDENT	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
FC12_RECIPROCAL_TORIC_DIAGONAL	TYPE_CHANGING	MUST_CROSS_NULL_OR_ZERO_DEGENERATION	NO_SINGLE_STABILIZER_ACROSS_CHANGE	PIECEWISE_ONLY_WITH_EXTRA_INTERFACE_DATA	OPEN_NONNULL_DEPTH_CONTROL;CAP_OR_GLUE_EXTENSION_PROFILE_DEPENDENT	UNSUPPLIED_COMPLETE_G_PHI_PROFILE	NOT_SELECTED
