basis_count	alpha_index	log10_alpha	alpha	lambda	raw_chi2	edf	gcv
16	33	-3.75	0.00017782794100389227	2.6020109039095246e-05	2133.1251144469443	16.760056339107464	0.9047877055659256
16	34	-3.5	0.00031622776601683794	4.6271024151190736e-05	2133.1388624238075	16.62471277607164	0.9046903902138267
16	35	-3.25	0.0005623413251903491	8.228280952947622e-05	2133.1690191545586	16.445572352754112	0.9045666805105694
16	36	-3.0	0.001	0.000146321825986422	2133.2314152357294	16.228292226195897	0.904427615239875
16	37	-2.75	0.0017782794100389228	0.0002602010903909525	2133.360005131404	15.977635354477492	0.9042912278499761
16	38	-2.5	0.0031622776601683794	0.0004627102415119074	2133.623295989708	15.686960631453168	0.9041814960550665
16	39	-2.25	0.005623413251903491	0.0008228280952947622	2134.1195786419567	15.338893651623824	0.9041268172366349
16	40	-2.0	0.01	0.0014632182598642203	2134.9154513938693	14.916492003274477	0.9041424427941834
16	41	-1.75	0.01778279410038923	0.002602010903909525	2135.9751042887424	14.410954812244015	0.9042064085405769
16	42	-1.5	0.03162277660168379	0.004627102415119074	2137.2202303643576	13.81830170693041	0.9042824380624357
16	43	-1.25	0.05623413251903491	0.008228280952947621	2138.731902460074	13.133698407448115	0.9044010529260632
16	44	-1.0	0.1	0.014632182598642202	2140.921934822853	12.35570577794718	0.9047350262599476
16	45	-0.75	0.1778279410038923	0.026020109039095247	2144.548424540323	11.497862702290552	0.9056142234227166
16	46	-0.5	0.31622776601683794	0.04627102415119074	2150.6288236842183	10.592266240335551	0.9074910134314483
16	47	-0.25	0.5623413251903491	0.08228280952947621	2160.506532455336	9.679216215100475	0.9109600993639877
16	48	0.0	1.0	0.14632182598642202	2176.239726220093	8.793812102803866	0.9169119084020613
16	49	0.25	1.7782794100389228	0.26020109039095246	2201.1802078368037	7.960066980599945	0.9267712128008181
16	50	0.5	3.1622776601683795	0.4627102415119074	2240.673751190668	7.191879723234811	0.942791401527342
16	51	0.75	5.623413251903491	0.8228280952947622	2302.679158483683	6.496133213707303	0.9683156348787975
16	52	1.0	10.0	1.4632182598642203	2398.292197922489	5.874928694317742	1.0079972694899735
16	53	1.25	17.78279410038923	2.602010903909525	2544.6299231204557	5.326090634195618	1.0690106799379575
16	54	1.5	31.622776601683793	4.627102415119074	2773.7011617232106	4.843966243937303	1.164773726674104
16	55	1.75	56.23413251903491	8.228280952947621	3143.415691901136	4.4223777480694135	1.3195634103411293
16	56	2.0	100.0	14.632182598642201	3731.6591617943295	4.057654696198863	1.5660213827345268
16	57	2.25	177.82794100389228	26.020109039095246	4581.5622092612575	3.7503377657212322	1.922195175360112
16	58	2.5	316.22776601683796	46.271024151190744	5617.425935232634	3.5044466416315045	2.3563065384176043
16	59	2.75	562.341325190349	82.28280952947621	6651.896864919754	3.3218205629230653	2.78980277641447
16	60	3.0	1000.0	146.32182598642203	7512.474599054992	3.196588107187101	3.1503982378065936
16	61	3.25	1778.2794100389228	260.20109039095246	8133.769915998111	3.1163691393416726	3.4107127319856247
16	62	3.5	3162.2776601683795	462.7102415119074	8540.506435915206	3.0674726430354418	3.58112184423864
16	63	3.75	5623.413251903491	822.8280952947622	8790.674895547156	3.038624640044139	3.685930984164983
16	64	4.0	10000.0	1463.2182598642203	8938.835297472024	3.0219433474459683	3.7480022934397637
16	65	4.25	17782.794100389227	2602.0109039095246	9024.655118131015	3.012411589371233	3.7839558434375986
16	66	4.5	31622.776601683792	4627.102415119073	9073.732641963174	3.007002550393919	3.804516367726438
16	67	4.75	56234.13251903491	8228.280952947622	9101.594244419222	3.0039451423634755	3.8161886594778425
16	68	5.0	100000.0	14632.1825986422	9117.346096327237	3.0022208391604104	3.8227877002910042
16	69	5.25	177827.94100389228	26020.109039095245	9126.230770461632	3.001249605552849	3.826509818990037
16	70	5.5	316227.7660168379	46271.02415119074	9131.235478935429	3.0007029378188323	3.828606475223892
16	71	5.75	562341.3251903491	82282.80952947622	9134.052522760963	3.0003953647042745	3.82978663795681
16	72	6.0	1000000.0	146321.82598642202	9135.637514274744	3.0002223532321644	3.830450648765253
16	73	6.25	1778279.410038923	260201.09039095248	9136.529089882617	3.0001250457872635	3.8308241622947627
16	74	6.5	3162277.6601683795	462710.2415119074	9137.030544904741	3.000070320746484	3.8310342400737794
16	75	6.75	5623413.251903491	822828.0952947622	9137.312560738184	3.000039544999497	3.8311523867773647
16	76	7.0	10000000.0	1463218.2598642202	9137.471158419476	3.0000222380207213	3.83121882912084
16	77	7.25	17782794.100389227	2602010.9039095244	9137.560347145369	3.000012505431819	3.831256193525198
16	78	7.5	31622776.60168379	4627102.415119073	9137.610502504125	3.000007032344432	3.831277205430851
16	79	7.75	56234132.51903491	8228280.952947621	9137.63870720462	3.000003954585265	3.831289021406618
16	80	8.0	100000000.0	14632182.598642202	9137.654567958516	3.0000022238290516	3.831295666053788
16	81	8.25	177827941.00389227	26020109.039095245	9137.663487142838	3.0000012505517137	3.8312994026247713
16	82	8.5	316227766.01683795	46271024.15119074	9137.66850277729	3.000000703237141	3.83130150385662
16	83	8.75	562341325.1903491	82282809.52947621	9137.671323278511	3.0000003954593795	3.8313026854672496
16	84	9.0	1000000000.0	146321825.986422	9137.672909363764	3.000000222383175	3.8313033499360984
16	85	9.25	1778279410.0389228	260201090.39095247	9137.673801285318	3.000000125055257	3.8313037235945027
16	86	9.5	3162277660.1683793	462710241.5119074	9137.674302849746	3.000000070323741	3.8313039337181007
16	87	9.75	5623413251.903491	822828095.2947621	9137.674584900175	3.0000000395459465	3.8313040518792905
16	88	10.0	10000000000.0	1463218259.8642201	9137.674743508793	3.00000002223832	3.8313041183262153
16	89	10.25	17782794100.38923	2602010903.909525	9137.674832700985	3.0000000125055264	3.831304155692071
16	90	10.5	31622776601.683792	4627102415.119074	9137.674882857435	3.0000000070323742	3.8313041767044336
16	91	10.75	56234132519.034904	8228280952.94762	9137.674911062486	3.000000003954595	3.831304188520556
16	92	11.0	100000000000.0	14632182598.642202	9137.674926923351	3.0000000022238322	3.83130419516525
16	93	11.25	177827941003.89227	26020109039.095245	9137.674935842564	3.0000000012505526	3.831304198901833
16	94	11.5	316227766016.83795	46271024151.19074	9137.674940858216	3.0000000007032375	3.831304201003072
16	95	11.75	562341325190.3491	82282809529.47623	9137.674943678714	3.0000000003954597	3.8313042021846817
16	96	12.0	1000000000000.0	146321825986.42203	9137.674945264802	3.000000000222383	3.831304202849151
24	0	-12.0	1e-12	2.9550074766317997e-14	2123.6263367509787	24.999999998078025	0.9070436729340748
24	1	-11.75	1.7782794100389228e-12	5.254828952205403e-14	2123.6263367509855	24.999999996582194	0.9070436729329305
24	2	-11.5	3.1622776601683794e-12	9.344554128983274e-14	2123.6263367509846	24.999999993922174	0.9070436729308908
24	3	-11.25	5.6234132519034904e-12	1.6617228203565156e-13	2123.626336750983	24.99999998919193	0.9070436729272631
24	4	-11.0	1e-11	2.9550074766317997e-13	2123.6263367509837	24.999999980780235	0.907043672920814
24	5	-10.75	1.7782794100389227e-11	5.254828952205403e-13	2123.626336750982	24.999999965821882	0.9070436729093443
24	6	-10.5	3.1622776601683794e-11	9.344554128983275e-13	2123.626336750982	24.999999939221755	0.9070436728889488
24	7	-10.25	5.6234132519034906e-11	1.6617228203565157e-12	2123.6263367509823	24.999999891919305	0.907043672852681
24	8	-10.0	1e-10	2.9550074766318e-12	2123.6263367509837	24.999999807802347	0.9070436727881864
24	9	-9.75	1.778279410038923e-10	5.254828952205403e-12	2123.6263367509837	24.999999658218893	0.907043672673496
24	10	-9.5	3.1622776601683795e-10	9.344554128983275e-12	2123.6263367509787	24.999999392217795	0.9070436724695424
24	11	-9.25	5.623413251903491e-10	1.6617228203565157e-11	2123.6263367509837	24.999998919193736	0.9070436721068621
24	12	-9.0	1e-09	2.9550074766318e-11	2123.6263367509846	24.999998078025445	0.9070436714619118
24	13	-8.75	1.7782794100389228e-09	5.254828952205403e-11	2123.6263367509864	24.99999658219531	0.9070436703150122
24	14	-8.5	3.1622776601683795e-09	9.344554128983275e-11	2123.6263367509955	24.999993922198062	0.9070436682755115
24	15	-8.25	5.623413251903491e-09	1.6617228203565158e-10	2123.6263367510273	24.999989192000847	0.9070436646487332
24	16	-8.0	1e-08	2.9550074766317997e-10	2123.6263367511274	24.999980780455324	0.9070436581993765
24	17	-7.75	1.7782794100389228e-08	5.254828952205403e-10	2123.6263367514384	24.99996582258834	0.9070436467308381
24	18	-7.5	3.162277660168379e-08	9.344554128983275e-10	2123.6263367524143	24.999939223989383	0.9070436263372655
24	19	-7.25	5.6234132519034905e-08	1.6617228203565157e-09	2123.6263367555193	24.99989192636051	0.9070435900740014
24	20	-7.0	1e-07	2.9550074766317996e-09	2123.626336765327	24.999807824638864	0.9070435255947417
24	21	-6.75	1.7782794100389227e-07	5.254828952205402e-09	2123.6263367963384	24.999658289391906	0.907043410954603
24	22	-6.5	3.162277660168379e-07	9.344554128983274e-09	2123.6263368943546	24.999392440681497	0.9070432071619401
24	23	-6.25	5.62341325190349e-07	1.6617228203565157e-08	2123.626337204052	24.998919898305285	0.9070428449813579
24	24	-6.0	1e-06	2.9550074766317997e-08	2123.6263381819167	24.99808025210387	0.9070422016168368
24	25	-5.75	1.778279410038923e-06	5.254828952205403e-08	2123.626341265928	24.996589228785012	0.9070410597230046
24	26	-5.5	3.162277660168379e-06	9.344554128983275e-08	2123.6263509721502	24.99394439590677	0.9070390360035032
24	27	-5.25	5.623413251903491e-06	1.661722820356516e-07	2123.626381408041	24.989261950799687	0.9070354588619867
24	28	-5.0	1e-05	2.9550074766318003e-07	2123.626476228084	24.981000287943022	0.9070291650008725
24	29	-4.75	1.778279410038923e-05	5.254828952205404e-07	2123.626768280333	24.966510197863386	0.9070181800954461
24	30	-4.5	3.1622776601683795e-05	9.344554128983275e-07	2123.627650158085	24.94135716442389	0.9069992722374638
24	31	-4.25	5.623413251903491e-05	1.6617228203565158e-06	2123.630224305658	24.898452234285518	0.9069674783611803
24	32	-4.0	0.0001	2.9550074766318e-06	2123.637326693696	24.827333164041885	0.9069159916206153
24	33	-3.75	0.00017782794100389227	5.254828952205402e-06	2123.6552512078715	24.71453315679953	0.9068371830148447
24	34	-3.5	0.00031622776601683794	9.344554128983275e-06	2123.694938119686	24.54628815033293	0.9067251874839316
24	35	-3.25	0.0005623413251903491	1.661722820356516e-05	2123.769004780721	24.312976776823724	0.9065780407798459
24	36	-3.0	0.001	2.9550074766317998e-05	2123.8836832274483	24.010415842789957	0.9063952290726962
24	37	-2.75	0.0017782794100389228	5.254828952205403e-05	2124.0359599882613	23.634348716471198	0.9061722471476867
24	38	-2.5	0.0031622776601683794	9.344554128983275e-05	2124.2231536493573	23.17553587939008	0.9059009345940777
24	39	-2.25	0.005623413251903491	0.00016617228203565158	2124.449535742557	22.623386234178167	0.9055750892089526
24	40	-2.0	0.01	0.00029550074766318	2124.723682913539	21.968626780946455	0.9051913819997031
24	41	-1.75	0.01778279410038923	0.0005254828952205404	2125.0677484814787	21.195427810870832	0.9047472884779254
24	42	-1.5	0.03162277660168379	0.0009344554128983275	2125.542017855808	20.276540040108255	0.9042478314660418
24	43	-1.25	0.05623413251903491	0.0016617228203565158	2126.270753335985	19.187200243570647	0.903727139794729
24	44	-1.0	0.1	0.0029550074766318	2127.464057592786	17.929663435781013	0.9032762396261306
24	45	-0.75	0.1778279410038923	0.0052548289522054035	2129.398677540684	16.545748257769876	0.9030440658584523
24	46	-0.5	0.31622776601683794	0.009344554128983275	2132.333838363269	15.1043431284865	0.9031919282375618
24	47	-0.25	0.5623413251903491	0.01661722820356516	2136.487193197533	13.675570923621086	0.9038637387519681
24	48	0.0	1.0	0.029550074766317998	2142.2153574419644	12.312705388355925	0.9052488855219564
24	49	0.25	1.7782794100389228	0.05254828952205403	2150.278283030785	11.048226239183318	0.9076907950178731
24	50	0.5	3.1622776601683795	0.09344554128983275	2162.0772306118106	9.897368569568929	0.9117894216004685
24	51	0.75	5.623413251903491	0.1661722820356516	2179.990083655276	8.863249644748866	0.9185455885491953
24	52	1.0	10.0	0.29550074766317996	2207.8699391531236	7.941881217117217	0.9295736278121456
24	53	1.25	17.78279410038923	0.5254828952205403	2251.70065855487	7.126148828633079	0.9473788636188745
24	54	1.5	31.622776601683793	0.9344554128983275	2320.132846661566	6.4082389102007395	0.9755832841912464
24	55	1.75	56.23413251903491	1.6617228203565158	2425.208394838294	5.78017606212039	1.0192291092115073
24	56	2.0	100.0	2.9550074766318	2586.364746114212	5.23292106618394	1.086458807849314
24	57	2.25	177.82794100389228	5.254828952205402	2840.5542564609013	4.756631075012515	1.1927603561548523
24	58	2.5	316.22776601683796	9.344554128983276	3251.8171142045685	4.343149436298266	1.3649782327800601
24	59	2.75	562.341325190349	16.617228203565155	3897.2040811764737	3.9882287530692295	1.6353985314463066
24	60	3.0	1000.0	29.550074766317998	4799.857165510141	3.692569281640181	2.0136834015452703
24	61	3.25	1778.2794100389228	52.54828952205403	5853.354878874826	3.459851143891642	2.4551784571231074
24	62	3.5	3162.2776601683795	93.44554128983275	6861.119107457165	3.290214888266065	2.877474319141931
24	63	3.75	5623.413251903491	166.1722820356516	7670.462308149859	3.175844237093554	3.2165953790626336
24	64	4.0	10000.0	295.50074766318	8240.226805021179	3.1035191799473116	3.4553158359145035
24	65	4.25	17782.794100389227	525.4828952205403	8607.143302212493	3.059815146464946	3.609040218359287
24	66	4.5	31622.776601683792	934.4554128983274	8830.549564721194	3.034170261945602	3.7026366240659674
24	67	4.75	56234.13251903491	1661.7228203565157	8962.070099374898	3.019389279917711	3.7577364742154167
24	68	5.0	100000.0	2955.0074766318	9037.987562200542	3.0109593450957304	3.7895414068364377
24	69	5.25	177827.94100389228	5254.828952205403	9081.31614636298	3.0061807587753395	3.8076934270507867
24	70	5.5	316227.7660168379	9344.554128983274	9105.88632810237	3.0034813769193542	3.817986795424531
24	71	5.75	562341.3251903491	16617.22820356516	9119.768489213691	3.001959524112549	3.823802542070172
24	72	6.0	1000000.0	29550.074766317997	9127.595768281739	3.0011024922224294	3.827081673278884
24	73	6.25	1778279.410038923	52548.28952205403	9132.00395660189	3.000620157628622	3.8289284223028743
24	74	6.5	3162277.6601683795	93445.54128983275	9134.484949074837	3.000348797433807	3.8299677991812753
24	75	6.75	5623413.251903491	166172.2820356516	9135.880773927855	3.0001961612958468	3.830552560256815
24	76	7.0	10000000.0	295500.74766318	9136.66591282474	3.0001103153229383	3.830881483058271
24	77	7.25	17782794.100389227	525482.8952205402	9137.107494951335	3.0000620366738526	3.8310664776149745
24	78	7.5	31622776.60168379	934455.4128983275	9137.355835728957	3.00003488635746	3.8311705164514294
24	79	7.75	56234132.51903491	1661722.8203565157	9137.49549462051	3.000019618221397	3.8312290245565612
24	80	8.0	100000000.0	2955007.4766317997	9137.574032676901	3.0000110321938287	3.83126192695729
24	81	8.25	177827941.00389227	5254828.952205403	9137.61819853261	3.000006203876589	3.831280429613733
24	82	8.5	316227766.01683795	9344554.128983276	9137.643035027477	3.0000034887019034	3.8312908345096193
24	83	8.75	562341325.1903491	16617228.203565158	9137.657001681015	3.000001961843061	3.8312966856402424
24	84	9.0	1000000000.0	29550074.766317997	9137.66485572838	3.0000011032259986	3.8312999759815454
24	85	9.25	1778279410.0389228	52548289.52205403	9137.669272390394	3.000000620389751	3.831301826279202
24	86	9.5	3162277660.1683793	93445541.28983274	9137.671756064054	3.0000003488708518	3.8313028667789144
24	87	9.75	5623413251.903491	166172282.0356516	9137.673152737041	3.0000001961845153	3.8313034518951725
24	88	10.0	10000000000.0	295500747.66318	9137.673938144198	3.000000110322666	3.831303780930317
24	89	10.25	17782794100.38923	525482895.2205403	9137.674379811167	3.000000062038996	3.8313039659604042
24	90	10.5	31622776601.683792	934455412.8983275	9137.674628178784	3.000000034887092	3.8313040700104812
24	91	10.75	56234132519.034904	1661722820.3565156	9137.674767846147	3.0000000196184535	3.831304128522133
24	92	11.0	100000000000.0	2955007476.6317997	9137.674846386892	3.000000011032267	3.8313041614256598
24	93	11.25	177827941003.89227	5254828952.205402	9137.6748905536	3.0000000062038996	3.831304179928675
24	94	11.5	316227766016.83795	9344554128.983274	9137.674915390351	3.0000000034887093	3.831304190333677
24	95	11.75	562341325190.3491	16617228203.565159	9137.674929357096	3.0000000019618454	3.8313041961848455
24	96	12.0	1000000000000.0	29550074766.317997	9137.67493721117	3.000000001103227	3.8313041994751984
32	0	-12.0	1e-12	9.693655323423371e-15	2116.9962850934216	32.99999999796084	0.9103577012565848
32	1	-11.75	1.7782794100389228e-12	1.723802766965798e-14	2116.9962850934207	32.999999996373816	0.9103577012553589
32	2	-11.5	3.1622776601683794e-12	3.065402967463402e-14	2116.996285093422	32.999999993551626	0.9103577012531803
32	3	-11.25	5.6234132519034904e-12	5.4511429805123804e-14	2116.9962850934226	32.99999998853299	0.9103577012493054
32	4	-11.0	1e-11	9.693655323423371e-14	2116.9962850934207	32.99999997960846	0.9103577012424138
32	5	-10.75	1.7782794100389227e-11	1.7238027669657977e-13	2116.9962850934203	32.999999963738134	0.9103577012301592
32	6	-10.5	3.1622776601683794e-11	3.0654029674634014e-13	2116.9962850934216	32.99999993551628	0.9103577012083685
32	7	-10.25	5.6234132519034906e-11	5.451142980512381e-13	2116.9962850934207	32.99999988532993	0.9103577011696171
32	8	-10.0	1e-10	9.693655323423372e-13	2116.99628509342	32.99999979608458	0.9103577011007061
32	9	-9.75	1.778279410038923e-10	1.7238027669657978e-12	2116.9962850934194	32.99999963738145	0.9103577009781642
32	10	-9.5	3.1622776601683795e-10	3.065402967463402e-12	2116.9962850934176	32.999999355162984	0.9103577007602504
32	11	-9.25	5.623413251903491e-10	5.451142980512381e-12	2116.9962850934226	32.999998853299886	0.910357700372742
32	12	-9.0	1e-09	9.693655323423373e-12	2116.99628509342	32.99999796084769	0.9103576996836393
32	13	-8.75	1.7782794100389228e-09	1.7238027669657977e-11	2116.996285093421	32.99999637382031	0.9103576984582264
32	14	-8.5	3.1622776601683795e-09	3.065402967463402e-11	2116.9962850934285	32.99999355164839	0.9103576962791067
32	15	-8.25	5.623413251903491e-09	5.4511429805123814e-11	2116.9962850934376	32.999988533057774	0.9103576924040361
32	16	-8.0	1e-08	9.693655323423373e-11	2116.9962850934703	32.99997960866342	0.9103576855131335
32	17	-7.75	1.7782794100389228e-08	1.723802766965798e-10	2116.996285093583	32.99996373879277	0.9103576732593579
32	18	-7.5	3.162277660168379e-08	3.065402967463401e-10	2116.9962850939264	32.99993551834855	0.9103576514692621
32	19	-7.25	5.6234132519034905e-08	5.451142980512381e-10	2116.9962850950196	32.99988533647416	0.9103576127221065
32	20	-7.0	1e-07	9.693655323423371e-10	2116.996285098491	32.9997961052791	0.9103575438242871
32	21	-6.75	1.7782794100389227e-07	1.7238027669657976e-09	2116.996285109451	32.999637446881124	0.9103574213219243
32	22	-6.5	3.162277660168379e-07	3.0654029674634014e-09	2116.9962851440982	32.99935536987422	0.9103572035329124
32	23	-6.25	5.62341325190349e-07	5.45114298051238e-09	2116.9962852535987	32.99885395393898	0.910356816415167
32	24	-6.0	1e-06	9.693655323423371e-09	2116.9962855994695	32.99796291478742	0.9103561285548141
32	25	-5.75	1.778279410038923e-06	1.723802766965798e-08	2116.996286690997	32.99638035017169	0.9103549070609197
32	26	-5.5	3.162277660168379e-06	3.065402967463401e-08	2116.9962901303697	32.9935722591753	0.9103527403033422
32	27	-5.25	5.623413251903491e-06	5.4511429805123814e-08	2116.9963009377207	32.988598019747826	0.9103489041654501
32	28	-5.0	1e-05	9.693655323423372e-08	2116.9963347319035	32.97981289325138	0.9103421354515885
32	29	-4.75	1.778279410038923e-05	1.7238027669657979e-07	2116.9964395080256	32.964377999234955	0.9103302629693941
32	30	-4.5	3.1622776601683795e-05	3.0654029674634016e-07	2116.996759614506	32.93750352004911	0.9103096509428165
32	31	-4.25	5.623413251903491e-05	5.45114298051238e-07	2116.9977136288408	32.891420831998616	0.9102744825493186
32	32	-4.0	0.0001	9.693655323423374e-07	2117.0004449102075	32.81434972817363	0.9102161579903267
32	33	-3.75	0.00017782794100389227	1.7238027669657975e-06	2117.0078034614985	32.69030107668733	0.9101235680810681
32	34	-3.5	0.00031622776601683794	3.0654029674634017e-06	2117.0260697100452	32.50097968293232	0.909985310686633
32	35	-3.25	0.0005623413251903491	5.451142980512381e-06	2117.067417568399	32.22959120790367	0.9097936948295889
32	36	-3.0	0.001	9.693655323423371e-06	2117.153548055079	31.86244700952192	0.9095475433464086
32	37	-2.75	0.0017782794100389228	1.7238027669657977e-05	2117.3202231305463	31.384960822320306	0.9092510488414443
32	38	-2.5	0.0031622776601683794	3.0654029674634015e-05	2117.61177774565	30.77869779019592	0.9089091349978311
32	39	-2.25	0.005623413251903491	5.451142980512381e-05	2118.047798836881	30.026084600112863	0.9085167843328951
32	40	-2.0	0.01	9.693655323423373e-05	2118.588572664835	29.11211619636645	0.9080455720155346
32	41	-1.75	0.01778279410038923	0.0001723802766965798	2119.167019662538	28.01508887268624	0.9074503358038534
32	42	-1.5	0.03162277660168379	0.0003065402967463401	2119.7719608287207	26.703476007541983	0.9067025391084537
32	43	-1.25	0.05623413251903491	0.0005451142980512382	2120.4871640935908	25.155849251232915	0.9058221986533415
32	44	-1.0	0.1	0.0009693655323423372	2121.452574746032	23.391000271767457	0.90488406291965
32	45	-0.75	0.1778279410038923	0.001723802766965798	2122.8060841619085	21.476962523386653	0.9039991641335788
32	46	-0.5	0.31622776601683794	0.0030654029674634015	2124.6841511217926	19.50813149738242	0.9032972222565141
32	47	-0.25	0.5623413251903491	0.005451142980512381	2127.2714438355656	17.573614947307682	0.9029234956057975
32	48	0.0	1.0	0.009693655323423372	2130.797528718042	15.739658060354609	0.9030240671083696
32	49	0.25	1.7782794100389228	0.017238027669657978	2135.50298587587	14.046830377169387	0.9037296026385342
32	50	0.5	3.1622776601683795	0.030654029674634018	2141.76146106847	12.514034126581715	0.9052103047519632
32	51	0.75	5.623413251903491	0.054511429805123815	2150.3403080365188	11.144517638755865	0.9077904332656814
32	52	1.0	10.0	0.09693655323423372	2162.6777834434624	9.931425013938828	0.9120687763393612
32	53	1.25	17.78279410038923	0.1723802766965798	2181.2388296094705	8.862226487282557	0.9190709620280982
32	54	1.5	31.622776601683793	0.30654029674634015	2210.0142610400317	7.922426645814544	0.9304612538970917
32	55	1.75	56.23413251903491	0.5451142980512381	2255.1683708588157	7.098175568013986	0.9488155986800338
32	56	2.0	100.0	0.9693655323423372	2325.5518325171515	6.377484393309045	0.9778366688135263
32	57	2.25	177.82794100389228	1.7238027669657978	2433.5092759807944	5.749788435443095	1.0226916169855962
32	58	2.5	316.22776601683796	3.065402967463402	2599.2410177434595	5.204429993743494	1.091841688095145
32	59	2.75	562.341325190349	5.4511429805123806	2861.233162141075	4.73068240767158	1.2014173840415103
32	60	3.0	1000.0	9.693655323423371	3285.21813286876	4.320056932272555	1.3789719128734956
32	61	3.25	1778.2794100389228	17.238027669657978	3947.407109120326	3.9682968163794556	1.6564377553272924
32	62	3.5	3162.2776601683795	30.654029674634018	4864.342719213364	3.676228721938382	2.0407090803743695
32	63	3.75	5623.413251903491	54.51142980512381	5921.032228911793	3.447427641076032	2.483539745423052
32	64	4.0	10000.0	96.93655323423373	6919.605904497488	3.2815303202850616	2.90198189790911
32	65	4.25	17782.794100389227	172.38027669657976	7713.783900545948	3.1702044139194547	3.2347469350958704
32	66	4.5	31622.776601683792	306.5402967463401	8269.044289188885	3.1000508307068153	3.467389594500482
32	67	4.75	56234.13251903491	545.114298051238	8625.03722112914	3.057757773825828	3.616537041972298
32	68	5.0	100000.0	969.3655323423372	8841.205774873899	3.03297679028845	3.7071010520118985
32	69	5.25	177827.94100389228	1723.8027669657977	8968.262097309687	3.0187060687002094	3.7603305861346352
32	70	5.5	316227.7660168379	3065.402967463401	9041.534923569814	3.0105712319172664	3.7910275491083745
32	71	5.75	562341.3251903491	5451.142980512382	9083.33204984342	3.0059612507439435	3.8085379724683976
32	72	6.0	1000000.0	9693.655323423372	9107.026693296455	3.003357538093478	3.818464540564028
