configuration_id	design_id	design_family	bank	point_id	configuration_sha256	metric_jet_sha256	phi_jet_sha256	parameter_tangent_sha256	alpha_0	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	beta	determinant	inertia	identity_residual	latent_to_slot_rank	latent_rank_status	scalar_curvature	ricci_rank	ricci_rank_status	curvature_operator_rank	curvature_rank_status	riemann_max_abs	ricci_max_abs	weyl_max_abs	weyl_trace_residual	ricci_square	riemann_square	weyl_square	mixed_curvature_max_abs	time_derivative_activity	depth_derivative_activity	angular2_derivative_activity	angular3_derivative_activity	expansion_0	expansion_1	expansion_rank	shear_rank	twist_rank	twist_max_abs	shear_max_abs	phi	phi_gradient_norm	phi_gradient_max_abs	phi_horizontal_support	phi_vertical_support	phi_hessian_max_abs	complete_metric_parameter_rank	combined_parameter_rank	retained	physical_merit
A00P_B1_P1	A00P	METRIC_AXIS	B1	P1	11bb8b2e176bab397caecb2844cdc768b6171b86c35414411137ce598f519a3f	6dd07fa85d4bba5565b2e4c6619a2353ad0f46b2160d744bffb3a72dd7d7868a	28dfda44cf903e60c76839d44e49e280426e9e9f9c40f719d00f92a62ae4d998	2c254cbf379230b6471b96bd31478e75e70e16dc58944b63d3cf595b91e4469f	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5293166286011481	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.12986236345898744	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.11066614885020667	0.09014890419777029	0.04389969324270389	4.5102810375396984e-17	0.022490903578301736	0.07288588100161775	0.0335254849927324	0.11066614885020667	0.06375169417929095	0.26932533904620237	0.08761596472768862	0.2898940674712499	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00P_B1_P5	A00P	METRIC_AXIS	B1	P5	cc5e7a3b2151fa05249fe8d8a0c6ce0ce20097f0222d2a68bdaf027c595ffe93	f8026a826714cbf5cfd1f670eccf89603e8e839efa8367143f676d56645a84e4	28dfda44cf903e60c76839d44e49e280426e9e9f9c40f719d00f92a62ae4d998	ca083f82149f3e0a05272f03f36736c2cbc6ba62ffa7061ba57db8f47d586dc9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6780867765614664	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.14341860072579055	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.12874790684191373	0.098201124879024	0.04730232217730586	1.3877787807814457e-17	0.025550539127331327	0.08139124210567418	0.03714646219572624	0.12874790684191373	0.14589208647030746	0.4021384434758475	0.22008507061546376	0.2094860728804415	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00P_B2_P2	A00P	METRIC_AXIS	B2	P2	6788510545fa4ba90b628003527cb97feb170c6bc5b46e1f13f32422d5a08887	f9332f07fc1bbd147a53dd86a6719686a84b20fc9218f5ec56e86916a2e94fbc	46f491a8f59ba536515f87502a4e3a4bac051a35b7d80a81f3a0845f7359914c	220ee943ac062c5b4e76cbff99e80e63621d49d1d4cab05bbac3195abda52b37	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5930740793317917	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.22060000197297203	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.13541501685465887	0.13897816717495662	0.04930762076053885	4.195862407518902e-17	0.040328835930478917	0.11224998729661398	0.0478137690591478	0.13541501685465887	0.059560555753062065	0.3034848760773571	0.19618455630075896	0.12221582522072105	0.0	0.0	0	0	0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00P_B2_P6	A00P	METRIC_AXIS	B2	P6	0f2d02f0a5308e9f923fa398ef099a54d4a61f3cafa56039381f997d31c0f991	5349d7b17f5fdc4df4700cf2edc6b1f2d72b3e45d74bc1a396f0428fb99fe523	46f491a8f59ba536515f87502a4e3a4bac051a35b7d80a81f3a0845f7359914c	3bc2cd8eaa6a3a4f4d3907441bd8f4045fd757f4b93082b61bb7d8383d855d83	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.2219494959239496	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.2041840347841555	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.09898436659073043	0.10092332572710956	0.04180061510283529	2.5153490401663703e-17	0.03545527410420249	0.09974454816780919	0.04273103997964976	0.09898436659073043	0.11849369074396912	0.17978353078395315	0.05992784359465104	0.16979555685151126	0.0	0.0	0	0	0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00P_B3_P3	A00P	METRIC_AXIS	B3	P3	5c8a78b616498fcafb557eeb26aa0256369608937d0eb46703744732a66de676	5d8e8c11d30160ffd24dd058556d07efeccd0574162b990d77e66fa0fbcc8c79	ac335f35da29702418f5d8cf71dd82a02d637b793c3f7cbcab1e4cc1bbed6d89	b9674a5e7a28b6c5744c22f58b107b7d65a7bae7d014511a87119c81171f87e3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4566884041843966	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.11717979541389495	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.10426115617674689	0.08936505117350084	0.03729021750571079	3.2959371184767846e-17	0.01776142126331971	0.05718876166164459	0.026242953952752623	0.10426115617674689	0.2628439024019678	0.14482083585984407	0.24245563994067854	0.13694232260688471	0.0	0.0	0	0	0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00P_B3_P7	A00P	METRIC_AXIS	B3	P7	08b89981f1f6b82d1f67433b850059029e25b49b0eddbe164c5e2649ceddb917	39032de971fbc452c9700d49778b4cd56fbba5296a3341dde8df648f08c564bc	ac335f35da29702418f5d8cf71dd82a02d637b793c3f7cbcab1e4cc1bbed6d89	e0b3b12e7b74cbba888562f5473175d8ec4423a4420d5bce38668114ff93735c	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.357881718991437	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.07600886975579921	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.07853517022267811	0.07252915192070773	0.03761216189376547	1.214306433183765e-17	0.015932983120774225	0.057821035606261714	0.027880852125231528	0.07853517022267811	0.18565695490892847	0.2018010379444874	0.36324186830007726	0.15336878883781038	0.0	0.0	0	0	0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00M_B0_P0	A00M	METRIC_AXIS	B0	P0	1093cd0a93f5fb3ce471685dda3c445721d4f51bac9df352bb0ea662d7569a8b	c566f9cc679688b2ac100f66ef35b655fbd23a4681ca488631d0cc62d1a3c10e	527b82953b39c16712bbe090e5ef96084c4fc4a68dffaba71cac8efea50ac945	abdbeaee3e02f9f29640bb075c3779074d0e57e551a070586a7cb3be58632ab9	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.04656188807128314	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.0992117328585165	0.08424800943741373	0.05152352651058431	2.0816681711721685e-17	0.025881064731596008	0.10069056709805904	0.04965110744178793	0.0992117328585165	0.3520532612975431	0.15646811613224137	0.07823405806612069	0.31293623226448275	0.0	0.0	0	0	0	0.0	0.0	-0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00M_B0_P4	A00M	METRIC_AXIS	B0	P4	6b6961d008635abe97a6074c8d8d17ea8a7b14937fbf524e820b5d91ba640f12	b7747807cea142e065abe4275df5ec75a8412893ea9a09749706f5d7fee6c82e	527b82953b39c16712bbe090e5ef96084c4fc4a68dffaba71cac8efea50ac945	462b67fc719784a60694961673af011b8ed15bc170f562667cd82f725f4c41fd	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4569083707079415	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.039816578454328524	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.09526247100932575	0.08123276115265098	0.05062539453036308	2.3201926491189795e-17	0.02483720065942392	0.09710872573557047	0.04796277772332572	0.09526247100932572	0.36908559520904727	0.1544622829310856	0.06665656464910931	0.2837930304666254	0.0	0.0	0	0	0	0.0	0.0	-0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00M_B1_P1	A00M	METRIC_AXIS	B1	P1	c6bf9b3f4dcd357839b082c3955542d2047a3da759617c0c04bc4739fb196979	4ea8604dc93147afaf9e74cd88c69a642309615955dca63a5ca7c39b31eb6c0c	28dfda44cf903e60c76839d44e49e280426e9e9f9c40f719d00f92a62ae4d998	4beacf9771000906a9f302188a301ed5da30196af9a62aa8c69f387cd94e682b	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.398190656210075	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.021939701827456345	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.098302410709442	0.0876288735800075	0.04653515426300457	1.6430623754786384e-17	0.013411148273539305	0.05287087818969276	0.026209031814706626	0.09830241070944197	0.058285525346428516	0.2462329680410616	0.08010363643867448	0.26503810188723553	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00M_B1_P5	A00M	METRIC_AXIS	B1	P5	b26d48bf11ee4122796301294b0d92aa4626b7ad06e3ad32604a210847c091df	cf6d494c77e69a88c000a21ab872a6d7ddce5ef3d26a991aca67acb4e03542a8	28dfda44cf903e60c76839d44e49e280426e9e9f9c40f719d00f92a62ae4d998	540b36a13234be3cff2c0dfe786dbafffcd5b2bef1c55254cad6cc4cb9cfd25e	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.2742345928488383	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.008352919373255836	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.08403191773237265	0.08228565797007616	0.04101131143286941	6.938893903907228e-18	0.011974931491201352	0.0475661098156347	0.02363950392058402	0.08403191773237263	0.11078136482565291	0.30535889022455603	0.16711889651049347	0.1590706776983734	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00M_B2_P2	A00M	METRIC_AXIS	B2	P2	dbe61e35b09f9ddd73ec04f5b15e9eb08aa843a41a331706af95043b478fd8b2	57d5610c494757bc14d95ff3f6eb2646ceedbd8a935fd77255c84e3db8259874	46f491a8f59ba536515f87502a4e3a4bac051a35b7d80a81f3a0845f7359914c	f85d4c30583f6f0ce16cdcd30b340bbaad01a6c55d0865df3e5716250ef12ce4	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3422327613250162	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.12539766689879048	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.10134048537591296	0.0941781389066896	0.03925967069370413	1.5011954231382472e-17	0.025892349808241528	0.08740692027399585	0.040863745612066085	0.10134048537591295	0.05018230492333246	0.25569893360423745	0.16529384424065297	0.10297203795596924	0.0	0.0	0	0	0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00M_B2_P6	A00M	METRIC_AXIS	B2	P6	4714b5c5a71b82092d95f99dedc119dcce01dfbef0d39eb91ff48a077370e1f6	cfc17d3f5e6c4115b19122eaaefc5efd9bc7a5336446912b973a1679f3b02bba	46f491a8f59ba536515f87502a4e3a4bac051a35b7d80a81f3a0845f7359914c	298ac21c4aaa0abd8e78b14057374151348b014f94fef443016cd915bb91d558	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.749889195608702	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.14170180316631995	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.1391135225905124	0.09907667427289045	0.0505816351958118	2.42861286636753e-17	0.029473169906268675	0.09735980714261515	0.04510660100360657	0.13911352259051235	0.1696885426708137	0.25745847853502773	0.08581949284500921	0.24315522972752615	0.0	0.0	0	0	0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00M_B3_P3	A00M	METRIC_AXIS	B3	P3	8bbcd21cbb8016d8ca5e50f033c22ef67a639f549d5571de89656258df087177	12262f2d1491dc04c498cf74ba09cfe13e25b0963f1bf9e1e3a5e6b484b9204c	ac335f35da29702418f5d8cf71dd82a02d637b793c3f7cbcab1e4cc1bbed6d89	fae2b0c3dd05ccff8efe2b9c7a32c3db1011347886050d1f5b0c261b58b15a29	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4679022736465361	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.18127629040483192	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.1305400548846803	0.11063494882649916	0.04236575152166156	3.2959746043559335e-17	0.02230059342295191	0.05624863571670631	0.022601146691781326	0.1305400548846803	0.2648673256694203	0.14593569470272713	0.24432211041497087	0.1379965311288614	0.0	0.0	0	0	0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A00M_B3_P7	A00M	METRIC_AXIS	B3	P7	96d354a46bf905316bc8697ef3e4ff7f47748282cf2168b53fe571a4ecfc76a2	8f62398dde2fdf29a5f14ff72d577bb1e303a476b4ae078372261f8f2a1a242a	ac335f35da29702418f5d8cf71dd82a02d637b793c3f7cbcab1e4cc1bbed6d89	fec52b07ac627c53e7154da0ecee61e57afb7c865f72f3749b71eab1f0b4595f	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5747146386837123	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	-0.22247832809063475	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.16167158535638823	0.13969687026278466	0.05078441059732064	1.9081958235744878e-17	0.028466452208056856	0.06428428750694765	0.023850251914168782	0.16167158535638823	0.21530352797273	0.23402557388340212	0.4212460329901237	0.17785943615138555	0.0	0.0	0	0	0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A01P_B0_P0	A01P	METRIC_AXIS	B0	P0	76c765054b1d026bdd5f1ba85831ffa8698db8ba031fd7013827b94597788a76	126a8e0059e55cd54dff0414b5c13793c0e91eb0d6be5154b06740bfcdc3d465	527b82953b39c16712bbe090e5ef96084c4fc4a68dffaba71cac8efea50ac945	21b75a9b1d54c1f0d7c048270812c9f82402899df281925ef380c90e353e3fd3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.12371102177307083	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.060208353969519214	0.06435706693319727	0.021322005373962276	9.540979117872439e-18	0.0037864584619013058	-0.0035519495827807447	-0.006023394203870935	0.023111191276281282	0.03610956892249862	0.07221913784499724	0.1624930601512438	0.054164353383747935	0.0	0.0	0	0	0	0.0	0.0	-0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
A01P_B0_P4	A01P	METRIC_AXIS	B0	P4	c340a87c5fc2d2578897c258a2e19b974b4a579424b75d91d54f243a3029186d	f87f34e749fb10ea77ee22fd0a81a507e14bfc4864ba891fb9a286cffdd35998	527b82953b39c16712bbe090e5ef96084c4fc4a68dffaba71cac8efea50ac945	3ff932f2cee9e534e53e5710b371b68a7d79bfb0c48053fa1aa00f095f95996b	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4622845894342251	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.1240320248139494	4	NUMERIC_CLASSIFIED	5	NUMERIC_CLASSIFIED	0.059219814614534454	0.06322422438316247	0.021269383129683066	1.3877787807814457e-17	0.004097184666936722	-0.0023885710339500207	-0.005454959308007401	0.023217025645971362	0.057083926664684086	0.046587792047330816	0.16901284342891718	0.04412794707443573	0.0	0.0	0	0	0	0.0	0.0	-0.25	0.0	0.0	0.0	0.0	0.0	10	11	YES	NOT_EVALUATED
