chain_id	A	B	C	rank_AB	rank_BC	rank_AC	transition_composes	Gram_increments_add	reciprocal_character_composes	delta_beta_telescopes	nontrivial_directed_loop
C000_010_060	S000	S010	S060	1	1	2	1	1	1	1	0
C000_010_065	S000	S010	S065	1	2	2	1	1	1	1	0
C000_010_066	S000	S010	S066	1	2	2	1	1	1	1	0
C000_010_067	S000	S010	S067	1	2	2	1	1	1	1	0
C000_010_070	S000	S010	S070	1	2	2	1	1	1	1	0
C000_010_071	S000	S010	S071	1	2	2	1	1	1	1	0
C000_010_072	S000	S010	S072	1	2	2	1	1	1	1	0
C000_010_073	S000	S010	S073	1	2	2	1	1	1	1	0
C000_010_085	S000	S010	S085	1	1	2	1	1	1	1	0
C000_010_090	S000	S010	S090	1	2	2	1	1	1	1	0
C000_010_091	S000	S010	S091	1	2	2	1	1	1	1	0
C000_010_092	S000	S010	S092	1	2	2	1	1	1	1	0
C000_010_093	S000	S010	S093	1	2	2	1	1	1	1	0
C000_010_094	S000	S010	S094	1	2	2	1	1	1	1	0
C000_010_095	S000	S010	S095	1	2	2	1	1	1	1	0
C000_010_096	S000	S010	S096	1	2	2	1	1	1	1	0
C000_010_097	S000	S010	S097	1	2	2	1	1	1	1	0
C000_010_098	S000	S010	S098	1	2	2	1	1	1	1	0
C000_010_099	S000	S010	S099	1	2	2	1	1	1	1	0
C000_015_015	S000	S015	S015	1	0	1	1	1	1	1	0
C000_015_020	S000	S015	S020	1	1	1	1	1	1	1	0
C000_015_040	S000	S015	S040	1	1	2	1	1	1	1	0
C000_015_045	S000	S015	S045	1	2	2	1	1	1	1	0
C000_015_046	S000	S015	S046	1	2	2	1	1	1	1	0
C000_015_065	S000	S015	S065	1	1	2	1	1	1	1	0
C000_015_070	S000	S015	S070	1	2	2	1	1	1	1	0
C000_015_071	S000	S015	S071	1	2	2	1	1	1	1	0
C000_015_072	S000	S015	S072	1	2	2	1	1	1	1	0
C000_015_090	S000	S015	S090	1	1	2	1	1	1	1	0
C000_015_095	S000	S015	S095	1	2	2	1	1	1	1	0
C000_015_096	S000	S015	S096	1	2	2	1	1	1	1	0
C000_015_097	S000	S015	S097	1	2	2	1	1	1	1	0
C000_015_098	S000	S015	S098	1	2	2	1	1	1	1	0
C000_015_099	S000	S015	S099	1	2	2	1	1	1	1	0
C000_020_020	S000	S020	S020	1	0	1	1	1	1	1	0
C000_020_045	S000	S020	S045	1	1	2	1	1	1	1	0
C000_020_070	S000	S020	S070	1	1	2	1	1	1	1	0
C000_020_095	S000	S020	S095	1	1	2	1	1	1	1	0
C000_025_025	S000	S025	S025	1	0	1	1	1	1	1	0
C000_025_030	S000	S025	S030	1	1	2	1	1	1	1	0
C000_025_035	S000	S025	S035	1	1	2	1	1	1	1	0
C000_025_040	S000	S025	S040	1	1	2	1	1	1	1	0
C000_025_045	S000	S025	S045	1	1	2	1	1	1	1	0
C000_025_050	S000	S025	S050	1	1	1	1	1	1	1	0
C000_025_055	S000	S025	S055	1	2	2	1	1	1	1	0
C000_025_056	S000	S025	S056	1	2	2	1	1	1	1	0
C000_025_060	S000	S025	S060	1	2	2	1	1	1	1	0
C000_025_061	S000	S025	S061	1	2	2	1	1	1	1	0
C000_025_062	S000	S025	S062	1	2	2	1	1	1	1	0
C000_025_065	S000	S025	S065	1	2	2	1	1	1	1	0
C000_025_066	S000	S025	S066	1	2	2	1	1	1	1	0
C000_025_067	S000	S025	S067	1	2	2	1	1	1	1	0
C000_025_070	S000	S025	S070	1	2	2	1	1	1	1	0
C000_025_071	S000	S025	S071	1	2	2	1	1	1	1	0
C000_025_072	S000	S025	S072	1	2	2	1	1	1	1	0
C000_025_073	S000	S025	S073	1	2	2	1	1	1	1	0
C000_025_075	S000	S025	S075	1	1	1	1	1	1	1	0
C000_025_080	S000	S025	S080	1	2	2	1	1	1	1	0
C000_025_081	S000	S025	S081	1	2	2	1	1	1	1	0
C000_025_082	S000	S025	S082	1	2	2	1	1	1	1	0
C000_025_083	S000	S025	S083	1	2	2	1	1	1	1	0
C000_025_085	S000	S025	S085	1	2	2	1	1	1	1	0
C000_025_086	S000	S025	S086	1	2	2	1	1	1	1	0
C000_025_087	S000	S025	S087	1	2	2	1	1	1	1	0
C000_025_088	S000	S025	S088	1	2	2	1	1	1	1	0
C000_025_089	S000	S025	S089	1	2	2	1	1	1	1	0
C000_025_090	S000	S025	S090	1	2	2	1	1	1	1	0
C000_025_091	S000	S025	S091	1	2	2	1	1	1	1	0
C000_025_092	S000	S025	S092	1	2	2	1	1	1	1	0
C000_025_093	S000	S025	S093	1	2	2	1	1	1	1	0
C000_025_094	S000	S025	S094	1	2	2	1	1	1	1	0
C000_025_095	S000	S025	S095	1	2	2	1	1	1	1	0
C000_025_096	S000	S025	S096	1	2	2	1	1	1	1	0
C000_025_097	S000	S025	S097	1	2	2	1	1	1	1	0
C000_025_098	S000	S025	S098	1	2	2	1	1	1	1	0
C000_025_099	S000	S025	S099	1	2	2	1	1	1	1	0
C000_030_030	S000	S030	S030	2	0	2	1	1	1	1	0
C000_030_035	S000	S030	S035	2	1	2	1	1	1	1	0
C000_030_040	S000	S030	S040	2	1	2	1	1	1	1	0
C000_030_045	S000	S030	S045	2	1	2	1	1	1	1	0
C000_030_055	S000	S030	S055	2	1	2	1	1	1	1	0
C000_030_060	S000	S030	S060	2	2	2	1	1	1	1	0
C000_030_061	S000	S030	S061	2	2	2	1	1	1	1	0
C000_030_065	S000	S030	S065	2	2	2	1	1	1	1	0
C000_030_066	S000	S030	S066	2	2	2	1	1	1	1	0
C000_030_067	S000	S030	S067	2	2	2	1	1	1	1	0
C000_030_070	S000	S030	S070	2	2	2	1	1	1	1	0
C000_030_071	S000	S030	S071	2	2	2	1	1	1	1	0
C000_030_072	S000	S030	S072	2	2	2	1	1	1	1	0
C000_030_073	S000	S030	S073	2	2	2	1	1	1	1	0
C000_030_080	S000	S030	S080	2	1	2	1	1	1	1	0
C000_030_085	S000	S030	S085	2	2	2	1	1	1	1	0
C000_030_086	S000	S030	S086	2	2	2	1	1	1	1	0
C000_030_087	S000	S030	S087	2	2	2	1	1	1	1	0
C000_030_088	S000	S030	S088	2	2	2	1	1	1	1	0
C000_030_089	S000	S030	S089	2	2	2	1	1	1	1	0
C000_030_090	S000	S030	S090	2	2	2	1	1	1	1	0
C000_030_091	S000	S030	S091	2	2	2	1	1	1	1	0
C000_030_092	S000	S030	S092	2	2	2	1	1	1	1	0
C000_030_093	S000	S030	S093	2	2	2	1	1	1	1	0
C000_030_094	S000	S030	S094	2	2	2	1	1	1	1	0
C000_030_095	S000	S030	S095	2	2	2	1	1	1	1	0
C000_030_096	S000	S030	S096	2	2	2	1	1	1	1	0
C000_030_097	S000	S030	S097	2	2	2	1	1	1	1	0
C000_030_098	S000	S030	S098	2	2	2	1	1	1	1	0
C000_030_099	S000	S030	S099	2	2	2	1	1	1	1	0
C000_035_035	S000	S035	S035	2	0	2	1	1	1	1	0
C000_035_040	S000	S035	S040	2	1	2	1	1	1	1	0
C000_035_045	S000	S035	S045	2	1	2	1	1	1	1	0
C000_035_060	S000	S035	S060	2	1	2	1	1	1	1	0
C000_035_065	S000	S035	S065	2	2	2	1	1	1	1	0
C000_035_066	S000	S035	S066	2	2	2	1	1	1	1	0
C000_035_070	S000	S035	S070	2	2	2	1	1	1	1	0
C000_035_071	S000	S035	S071	2	2	2	1	1	1	1	0
C000_035_072	S000	S035	S072	2	2	2	1	1	1	1	0
C000_035_085	S000	S035	S085	2	1	2	1	1	1	1	0
C000_035_090	S000	S035	S090	2	2	2	1	1	1	1	0
C000_035_091	S000	S035	S091	2	2	2	1	1	1	1	0
C000_035_092	S000	S035	S092	2	2	2	1	1	1	1	0
C000_035_093	S000	S035	S093	2	2	2	1	1	1	1	0
C000_035_094	S000	S035	S094	2	2	2	1	1	1	1	0
C000_035_095	S000	S035	S095	2	2	2	1	1	1	1	0
C000_035_096	S000	S035	S096	2	2	2	1	1	1	1	0
C000_035_097	S000	S035	S097	2	2	2	1	1	1	1	0
C000_035_098	S000	S035	S098	2	2	2	1	1	1	1	0
C000_035_099	S000	S035	S099	2	2	2	1	1	1	1	0
C000_036_036	S000	S036	S036	2	0	2	1	1	1	1	0
C000_036_041	S000	S036	S041	2	1	2	1	1	1	1	0
C000_036_046	S000	S036	S046	2	1	2	1	1	1	1	0
C000_036_061	S000	S036	S061	2	1	2	1	1	1	1	0
C000_036_065	S000	S036	S065	2	2	2	1	1	1	1	0
C000_036_066	S000	S036	S066	2	2	2	1	1	1	1	0
C000_036_067	S000	S036	S067	2	2	2	1	1	1	1	0
C000_036_070	S000	S036	S070	2	2	2	1	1	1	1	0
C000_036_071	S000	S036	S071	2	2	2	1	1	1	1	0
C000_036_072	S000	S036	S072	2	2	2	1	1	1	1	0
C000_036_073	S000	S036	S073	2	2	2	1	1	1	1	0
C000_036_086	S000	S036	S086	2	1	2	1	1	1	1	0
C000_036_090	S000	S036	S090	2	2	2	1	1	1	1	0
C000_036_091	S000	S036	S091	2	2	2	1	1	1	1	0
C000_036_092	S000	S036	S092	2	2	2	1	1	1	1	0
C000_036_093	S000	S036	S093	2	2	2	1	1	1	1	0
C000_036_094	S000	S036	S094	2	2	2	1	1	1	1	0
C000_036_095	S000	S036	S095	2	2	2	1	1	1	1	0
C000_036_096	S000	S036	S096	2	2	2	1	1	1	1	0
C000_036_097	S000	S036	S097	2	2	2	1	1	1	1	0
C000_036_098	S000	S036	S098	2	2	2	1	1	1	1	0
C000_036_099	S000	S036	S099	2	2	2	1	1	1	1	0
C000_040_040	S000	S040	S040	2	0	2	1	1	1	1	0
C000_040_045	S000	S040	S045	2	1	2	1	1	1	1	0
C000_040_065	S000	S040	S065	2	1	2	1	1	1	1	0
C000_040_070	S000	S040	S070	2	2	2	1	1	1	1	0
C000_040_071	S000	S040	S071	2	2	2	1	1	1	1	0
C000_040_072	S000	S040	S072	2	2	2	1	1	1	1	0
C000_040_090	S000	S040	S090	2	1	2	1	1	1	1	0
C000_040_095	S000	S040	S095	2	2	2	1	1	1	1	0
C000_040_096	S000	S040	S096	2	2	2	1	1	1	1	0
C000_040_097	S000	S040	S097	2	2	2	1	1	1	1	0
C000_040_098	S000	S040	S098	2	2	2	1	1	1	1	0
C000_040_099	S000	S040	S099	2	2	2	1	1	1	1	0
C000_041_041	S000	S041	S041	2	0	2	1	1	1	1	0
C000_041_046	S000	S041	S046	2	1	2	1	1	1	1	0
C000_041_066	S000	S041	S066	2	1	2	1	1	1	1	0
C000_041_070	S000	S041	S070	2	2	2	1	1	1	1	0
C000_041_071	S000	S041	S071	2	2	2	1	1	1	1	0
C000_041_072	S000	S041	S072	2	2	2	1	1	1	1	0
C000_041_073	S000	S041	S073	2	2	2	1	1	1	1	0
C000_041_091	S000	S041	S091	2	1	2	1	1	1	1	0
C000_041_095	S000	S041	S095	2	2	2	1	1	1	1	0
C000_041_096	S000	S041	S096	2	2	2	1	1	1	1	0
C000_041_097	S000	S041	S097	2	2	2	1	1	1	1	0
C000_041_098	S000	S041	S098	2	2	2	1	1	1	1	0
C000_041_099	S000	S041	S099	2	2	2	1	1	1	1	0
C000_045_045	S000	S045	S045	2	0	2	1	1	1	1	0
C000_045_070	S000	S045	S070	2	1	2	1	1	1	1	0
C000_045_095	S000	S045	S095	2	1	2	1	1	1	1	0
C000_046_046	S000	S046	S046	2	0	2	1	1	1	1	0
C000_046_071	S000	S046	S071	2	1	2	1	1	1	1	0
C000_046_096	S000	S046	S096	2	1	2	1	1	1	1	0
C000_047_047	S000	S047	S047	2	0	2	1	1	1	1	0
C000_047_072	S000	S047	S072	2	1	2	1	1	1	1	0
C000_047_097	S000	S047	S097	2	1	2	1	1	1	1	0
C000_050_050	S000	S050	S050	1	0	1	1	1	1	1	0
C000_050_055	S000	S050	S055	1	1	2	1	1	1	1	0
C000_050_060	S000	S050	S060	1	1	2	1	1	1	1	0
C000_050_065	S000	S050	S065	1	1	2	1	1	1	1	0
C000_050_070	S000	S050	S070	1	1	2	1	1	1	1	0
C000_050_075	S000	S050	S075	1	1	1	1	1	1	1	0
C000_050_080	S000	S050	S080	1	2	2	1	1	1	1	0
C000_050_081	S000	S050	S081	1	2	2	1	1	1	1	0
C000_050_082	S000	S050	S082	1	2	2	1	1	1	1	0
C000_050_083	S000	S050	S083	1	1	2	1	1	1	1	0
C000_050_085	S000	S050	S085	1	2	2	1	1	1	1	0
C000_050_086	S000	S050	S086	1	2	2	1	1	1	1	0
C000_050_087	S000	S050	S087	1	2	2	1	1	1	1	0
C000_050_088	S000	S050	S088	1	2	2	1	1	1	1	0
C000_050_089	S000	S050	S089	1	2	2	1	1	1	1	0
C000_050_090	S000	S050	S090	1	2	2	1	1	1	1	0
C000_050_091	S000	S050	S091	1	2	2	1	1	1	1	0
C000_050_092	S000	S050	S092	1	2	2	1	1	1	1	0
C000_050_093	S000	S050	S093	1	2	2	1	1	1	1	0
C000_050_094	S000	S050	S094	1	2	2	1	1	1	1	0
C000_050_095	S000	S050	S095	1	2	2	1	1	1	1	0
C000_050_096	S000	S050	S096	1	2	2	1	1	1	1	0
C000_050_097	S000	S050	S097	1	2	2	1	1	1	1	0
C000_050_098	S000	S050	S098	1	2	2	1	1	1	1	0
C000_050_099	S000	S050	S099	1	2	2	1	1	1	1	0
C000_055_055	S000	S055	S055	2	0	2	1	1	1	1	0
C000_055_060	S000	S055	S060	2	1	2	1	1	1	1	0
C000_055_065	S000	S055	S065	2	1	2	1	1	1	1	0
C000_055_070	S000	S055	S070	2	1	2	1	1	1	1	0
C000_055_080	S000	S055	S080	2	1	2	1	1	1	1	0
C000_055_085	S000	S055	S085	2	2	2	1	1	1	1	0
C000_055_086	S000	S055	S086	2	2	2	1	1	1	1	0
C000_055_087	S000	S055	S087	2	2	2	1	1	1	1	0
C000_055_088	S000	S055	S088	2	2	2	1	1	1	1	0
C000_055_090	S000	S055	S090	2	2	2	1	1	1	1	0
C000_055_091	S000	S055	S091	2	2	2	1	1	1	1	0
C000_055_092	S000	S055	S092	2	2	2	1	1	1	1	0
C000_055_093	S000	S055	S093	2	2	2	1	1	1	1	0
C000_055_094	S000	S055	S094	2	2	2	1	1	1	1	0
C000_055_095	S000	S055	S095	2	2	2	1	1	1	1	0
C000_055_096	S000	S055	S096	2	2	2	1	1	1	1	0
C000_055_097	S000	S055	S097	2	2	2	1	1	1	1	0
C000_055_098	S000	S055	S098	2	2	2	1	1	1	1	0
C000_055_099	S000	S055	S099	2	2	2	1	1	1	1	0
C000_056_056	S000	S056	S056	2	0	2	1	1	1	1	0
C000_056_061	S000	S056	S061	2	1	2	1	1	1	1	0
C000_056_066	S000	S056	S066	2	1	2	1	1	1	1	0
C000_056_071	S000	S056	S071	2	1	2	1	1	1	1	0
C000_056_081	S000	S056	S081	2	1	2	1	1	1	1	0
C000_056_085	S000	S056	S085	2	2	2	1	1	1	1	0
C000_056_086	S000	S056	S086	2	2	2	1	1	1	1	0
C000_056_087	S000	S056	S087	2	2	2	1	1	1	1	0
C000_056_088	S000	S056	S088	2	2	2	1	1	1	1	0
C000_056_089	S000	S056	S089	2	2	2	1	1	1	1	0
C000_056_090	S000	S056	S090	2	2	2	1	1	1	1	0
C000_056_091	S000	S056	S091	2	2	2	1	1	1	1	0
C000_056_092	S000	S056	S092	2	2	2	1	1	1	1	0
C000_056_093	S000	S056	S093	2	2	2	1	1	1	1	0
C000_056_094	S000	S056	S094	2	2	2	1	1	1	1	0
C000_056_095	S000	S056	S095	2	2	2	1	1	1	1	0
C000_056_096	S000	S056	S096	2	2	2	1	1	1	1	0
C000_056_097	S000	S056	S097	2	2	2	1	1	1	1	0
C000_056_098	S000	S056	S098	2	2	2	1	1	1	1	0
C000_056_099	S000	S056	S099	2	2	2	1	1	1	1	0
C000_060_060	S000	S060	S060	2	0	2	1	1	1	1	0
C000_060_065	S000	S060	S065	2	1	2	1	1	1	1	0
C000_060_070	S000	S060	S070	2	1	2	1	1	1	1	0
C000_060_085	S000	S060	S085	2	1	2	1	1	1	1	0
C000_060_090	S000	S060	S090	2	2	2	1	1	1	1	0
C000_060_091	S000	S060	S091	2	2	2	1	1	1	1	0
C000_060_092	S000	S060	S092	2	2	2	1	1	1	1	0
C000_060_093	S000	S060	S093	2	2	2	1	1	1	1	0
C000_060_094	S000	S060	S094	2	2	2	1	1	1	1	0
C000_060_095	S000	S060	S095	2	2	2	1	1	1	1	0
C000_060_096	S000	S060	S096	2	2	2	1	1	1	1	0
C000_060_097	S000	S060	S097	2	2	2	1	1	1	1	0
C000_060_098	S000	S060	S098	2	2	2	1	1	1	1	0
C000_060_099	S000	S060	S099	2	2	2	1	1	1	1	0
C000_061_061	S000	S061	S061	2	0	2	1	1	1	1	0
C000_061_066	S000	S061	S066	2	1	2	1	1	1	1	0
C000_061_071	S000	S061	S071	2	1	2	1	1	1	1	0
C000_061_086	S000	S061	S086	2	1	2	1	1	1	1	0
C000_061_090	S000	S061	S090	2	2	2	1	1	1	1	0
C000_061_091	S000	S061	S091	2	2	2	1	1	1	1	0
C000_061_092	S000	S061	S092	2	2	2	1	1	1	1	0
C000_061_093	S000	S061	S093	2	2	2	1	1	1	1	0
C000_061_094	S000	S061	S094	2	2	2	1	1	1	1	0
C000_061_095	S000	S061	S095	2	2	2	1	1	1	1	0
C000_061_096	S000	S061	S096	2	2	2	1	1	1	1	0
C000_061_097	S000	S061	S097	2	2	2	1	1	1	1	0
C000_061_098	S000	S061	S098	2	2	2	1	1	1	1	0
C000_061_099	S000	S061	S099	2	2	2	1	1	1	1	0
C000_062_062	S000	S062	S062	2	0	2	1	1	1	1	0
C000_062_067	S000	S062	S067	2	1	2	1	1	1	1	0
C000_062_072	S000	S062	S072	2	1	2	1	1	1	1	0
C000_062_087	S000	S062	S087	2	1	2	1	1	1	1	0
C000_062_090	S000	S062	S090	2	2	2	1	1	1	1	0
C000_062_091	S000	S062	S091	2	2	2	1	1	1	1	0
C000_062_092	S000	S062	S092	2	2	2	1	1	1	1	0
C000_062_093	S000	S062	S093	2	2	2	1	1	1	1	0
C000_062_094	S000	S062	S094	2	2	2	1	1	1	1	0
C000_062_095	S000	S062	S095	2	2	2	1	1	1	1	0
C000_062_096	S000	S062	S096	2	2	2	1	1	1	1	0
C000_062_097	S000	S062	S097	2	2	2	1	1	1	1	0
C000_062_098	S000	S062	S098	2	2	2	1	1	1	1	0
C000_062_099	S000	S062	S099	2	2	2	1	1	1	1	0
C000_065_065	S000	S065	S065	2	0	2	1	1	1	1	0
C000_065_070	S000	S065	S070	2	1	2	1	1	1	1	0
C000_065_090	S000	S065	S090	2	1	2	1	1	1	1	0
C000_065_095	S000	S065	S095	2	2	2	1	1	1	1	0
C000_065_096	S000	S065	S096	2	2	2	1	1	1	1	0
C000_065_097	S000	S065	S097	2	2	2	1	1	1	1	0
C000_065_098	S000	S065	S098	2	2	2	1	1	1	1	0
C000_065_099	S000	S065	S099	2	2	2	1	1	1	1	0
C000_066_066	S000	S066	S066	2	0	2	1	1	1	1	0
C000_066_071	S000	S066	S071	2	1	2	1	1	1	1	0
C000_066_091	S000	S066	S091	2	1	2	1	1	1	1	0
C000_066_095	S000	S066	S095	2	2	2	1	1	1	1	0
C000_066_096	S000	S066	S096	2	2	2	1	1	1	1	0
C000_066_097	S000	S066	S097	2	2	2	1	1	1	1	0
C000_066_098	S000	S066	S098	2	2	2	1	1	1	1	0
C000_066_099	S000	S066	S099	2	2	2	1	1	1	1	0
C000_067_067	S000	S067	S067	2	0	2	1	1	1	1	0
C000_067_072	S000	S067	S072	2	1	2	1	1	1	1	0
C000_067_092	S000	S067	S092	2	1	2	1	1	1	1	0
C000_067_095	S000	S067	S095	2	2	2	1	1	1	1	0
C000_067_096	S000	S067	S096	2	2	2	1	1	1	1	0
C000_067_097	S000	S067	S097	2	2	2	1	1	1	1	0
C000_067_098	S000	S067	S098	2	2	2	1	1	1	1	0
C000_067_099	S000	S067	S099	2	2	2	1	1	1	1	0
C000_068_068	S000	S068	S068	2	0	2	1	1	1	1	0
C000_068_073	S000	S068	S073	2	1	2	1	1	1	1	0
C000_068_093	S000	S068	S093	2	1	2	1	1	1	1	0
C000_068_095	S000	S068	S095	2	2	2	1	1	1	1	0
C000_068_096	S000	S068	S096	2	2	2	1	1	1	1	0
C000_068_097	S000	S068	S097	2	2	2	1	1	1	1	0
C000_068_098	S000	S068	S098	2	2	2	1	1	1	1	0
C000_068_099	S000	S068	S099	2	2	2	1	1	1	1	0
C000_070_070	S000	S070	S070	2	0	2	1	1	1	1	0
C000_070_095	S000	S070	S095	2	1	2	1	1	1	1	0
C000_071_071	S000	S071	S071	2	0	2	1	1	1	1	0
C000_071_096	S000	S071	S096	2	1	2	1	1	1	1	0
C000_072_072	S000	S072	S072	2	0	2	1	1	1	1	0
C000_072_097	S000	S072	S097	2	1	2	1	1	1	1	0
C000_073_073	S000	S073	S073	2	0	2	1	1	1	1	0
C000_073_098	S000	S073	S098	2	1	2	1	1	1	1	0
C000_074_074	S000	S074	S074	2	0	2	1	1	1	1	0
C000_074_099	S000	S074	S099	2	1	2	1	1	1	1	0
C000_075_075	S000	S075	S075	1	0	1	1	1	1	1	0
C000_075_080	S000	S075	S080	1	1	2	1	1	1	1	0
C000_075_085	S000	S075	S085	1	1	2	1	1	1	1	0
C000_075_090	S000	S075	S090	1	1	2	1	1	1	1	0
C000_075_095	S000	S075	S095	1	1	2	1	1	1	1	0
C000_080_080	S000	S080	S080	2	0	2	1	1	1	1	0
C000_080_085	S000	S080	S085	2	1	2	1	1	1	1	0
