pair_id	source	target	T_source	L_source	beta_source	T_target	L_target	beta_target	gram_class	reverse_gram_class	R11	R12	R22	area_ratio	reciprocal_ratio	delta_beta
P000_033	S000	S033	4	1	-1	3	2	1/2	INCOMPARABLE	INCOMPARABLE	3/4	9/2	2	3/2	3/8	3/2
P000_034	S000	S034	4	1	-1	3	2	1	INCOMPARABLE	INCOMPARABLE	3/4	6	2	3/2	3/8	2
P000_035	S000	S035	4	1	-1	3	3	-1	PSD_RANK_2	INCOMPARABLE	3/4	0	3	9/4	1/4	0
P000_036	S000	S036	4	1	-1	3	3	-1/2	PSD_RANK_2	INCOMPARABLE	3/4	3/2	3	9/4	1/4	1/2
P000_037	S000	S037	4	1	-1	3	3	0	INCOMPARABLE	INCOMPARABLE	3/4	3	3	9/4	1/4	1
P000_038	S000	S038	4	1	-1	3	3	1/2	INCOMPARABLE	INCOMPARABLE	3/4	9/2	3	9/4	1/4	3/2
P000_039	S000	S039	4	1	-1	3	3	1	INCOMPARABLE	INCOMPARABLE	3/4	6	3	9/4	1/4	2
P000_040	S000	S040	4	1	-1	3	4	-1	PSD_RANK_2	INCOMPARABLE	3/4	0	4	3	3/16	0
P000_041	S000	S041	4	1	-1	3	4	-1/2	PSD_RANK_2	INCOMPARABLE	3/4	3/2	4	3	3/16	1/2
P000_042	S000	S042	4	1	-1	3	4	0	INCOMPARABLE	INCOMPARABLE	3/4	3	4	3	3/16	1
P000_043	S000	S043	4	1	-1	3	4	1/2	INCOMPARABLE	INCOMPARABLE	3/4	9/2	4	3	3/16	3/2
P000_044	S000	S044	4	1	-1	3	4	1	INCOMPARABLE	INCOMPARABLE	3/4	6	4	3	3/16	2
P000_045	S000	S045	4	1	-1	3	5	-1	PSD_RANK_2	INCOMPARABLE	3/4	0	5	15/4	3/20	0
P000_046	S000	S046	4	1	-1	3	5	-1/2	PSD_RANK_2	INCOMPARABLE	3/4	3/2	5	15/4	3/20	1/2
P000_047	S000	S047	4	1	-1	3	5	0	PSD_RANK_2	INCOMPARABLE	3/4	3	5	15/4	3/20	1
P000_048	S000	S048	4	1	-1	3	5	1/2	INCOMPARABLE	INCOMPARABLE	3/4	9/2	5	15/4	3/20	3/2
P000_049	S000	S049	4	1	-1	3	5	1	INCOMPARABLE	INCOMPARABLE	3/4	6	5	15/4	3/20	2
P000_050	S000	S050	4	1	-1	2	1	-1	PSD_RANK_1	INCOMPARABLE	1/2	0	1	1/2	1/2	0
P000_051	S000	S051	4	1	-1	2	1	-1/2	INCOMPARABLE	INCOMPARABLE	1/2	1	1	1/2	1/2	1/2
P000_052	S000	S052	4	1	-1	2	1	0	INCOMPARABLE	INCOMPARABLE	1/2	2	1	1/2	1/2	1
P000_053	S000	S053	4	1	-1	2	1	1/2	INCOMPARABLE	INCOMPARABLE	1/2	3	1	1/2	1/2	3/2
P000_054	S000	S054	4	1	-1	2	1	1	INCOMPARABLE	INCOMPARABLE	1/2	4	1	1/2	1/2	2
P000_055	S000	S055	4	1	-1	2	2	-1	PSD_RANK_2	INCOMPARABLE	1/2	0	2	1	1/4	0
P000_056	S000	S056	4	1	-1	2	2	-1/2	PSD_RANK_2	INCOMPARABLE	1/2	1	2	1	1/4	1/2
P000_057	S000	S057	4	1	-1	2	2	0	INCOMPARABLE	INCOMPARABLE	1/2	2	2	1	1/4	1
P000_058	S000	S058	4	1	-1	2	2	1/2	INCOMPARABLE	INCOMPARABLE	1/2	3	2	1	1/4	3/2
P000_059	S000	S059	4	1	-1	2	2	1	INCOMPARABLE	INCOMPARABLE	1/2	4	2	1	1/4	2
P000_060	S000	S060	4	1	-1	2	3	-1	PSD_RANK_2	INCOMPARABLE	1/2	0	3	3/2	1/6	0
P000_061	S000	S061	4	1	-1	2	3	-1/2	PSD_RANK_2	INCOMPARABLE	1/2	1	3	3/2	1/6	1/2
P000_062	S000	S062	4	1	-1	2	3	0	PSD_RANK_2	INCOMPARABLE	1/2	2	3	3/2	1/6	1
P000_063	S000	S063	4	1	-1	2	3	1/2	INCOMPARABLE	INCOMPARABLE	1/2	3	3	3/2	1/6	3/2
P000_064	S000	S064	4	1	-1	2	3	1	INCOMPARABLE	INCOMPARABLE	1/2	4	3	3/2	1/6	2
P000_065	S000	S065	4	1	-1	2	4	-1	PSD_RANK_2	INCOMPARABLE	1/2	0	4	2	1/8	0
P000_066	S000	S066	4	1	-1	2	4	-1/2	PSD_RANK_2	INCOMPARABLE	1/2	1	4	2	1/8	1/2
P000_067	S000	S067	4	1	-1	2	4	0	PSD_RANK_2	INCOMPARABLE	1/2	2	4	2	1/8	1
P000_068	S000	S068	4	1	-1	2	4	1/2	PSD_RANK_2	INCOMPARABLE	1/2	3	4	2	1/8	3/2
P000_069	S000	S069	4	1	-1	2	4	1	INCOMPARABLE	INCOMPARABLE	1/2	4	4	2	1/8	2
P000_070	S000	S070	4	1	-1	2	5	-1	PSD_RANK_2	INCOMPARABLE	1/2	0	5	5/2	1/10	0
P000_071	S000	S071	4	1	-1	2	5	-1/2	PSD_RANK_2	INCOMPARABLE	1/2	1	5	5/2	1/10	1/2
P000_072	S000	S072	4	1	-1	2	5	0	PSD_RANK_2	INCOMPARABLE	1/2	2	5	5/2	1/10	1
P000_073	S000	S073	4	1	-1	2	5	1/2	PSD_RANK_2	INCOMPARABLE	1/2	3	5	5/2	1/10	3/2
P000_074	S000	S074	4	1	-1	2	5	1	PSD_RANK_2	INCOMPARABLE	1/2	4	5	5/2	1/10	2
P000_075	S000	S075	4	1	-1	1	1	-1	PSD_RANK_1	INCOMPARABLE	1/4	0	1	1/4	1/4	0
P000_076	S000	S076	4	1	-1	1	1	-1/2	INCOMPARABLE	INCOMPARABLE	1/4	1/2	1	1/4	1/4	1/2
P000_077	S000	S077	4	1	-1	1	1	0	INCOMPARABLE	INCOMPARABLE	1/4	1	1	1/4	1/4	1
P000_078	S000	S078	4	1	-1	1	1	1/2	INCOMPARABLE	INCOMPARABLE	1/4	3/2	1	1/4	1/4	3/2
P000_079	S000	S079	4	1	-1	1	1	1	INCOMPARABLE	INCOMPARABLE	1/4	2	1	1/4	1/4	2
P000_080	S000	S080	4	1	-1	1	2	-1	PSD_RANK_2	INCOMPARABLE	1/4	0	2	1/2	1/8	0
P000_081	S000	S081	4	1	-1	1	2	-1/2	PSD_RANK_2	INCOMPARABLE	1/4	1/2	2	1/2	1/8	1/2
P000_082	S000	S082	4	1	-1	1	2	0	PSD_RANK_2	INCOMPARABLE	1/4	1	2	1/2	1/8	1
P000_083	S000	S083	4	1	-1	1	2	1/2	PSD_RANK_2	INCOMPARABLE	1/4	3/2	2	1/2	1/8	3/2
P000_084	S000	S084	4	1	-1	1	2	1	INCOMPARABLE	INCOMPARABLE	1/4	2	2	1/2	1/8	2
P000_085	S000	S085	4	1	-1	1	3	-1	PSD_RANK_2	INCOMPARABLE	1/4	0	3	3/4	1/12	0
P000_086	S000	S086	4	1	-1	1	3	-1/2	PSD_RANK_2	INCOMPARABLE	1/4	1/2	3	3/4	1/12	1/2
P000_087	S000	S087	4	1	-1	1	3	0	PSD_RANK_2	INCOMPARABLE	1/4	1	3	3/4	1/12	1
P000_088	S000	S088	4	1	-1	1	3	1/2	PSD_RANK_2	INCOMPARABLE	1/4	3/2	3	3/4	1/12	3/2
P000_089	S000	S089	4	1	-1	1	3	1	PSD_RANK_2	INCOMPARABLE	1/4	2	3	3/4	1/12	2
P000_090	S000	S090	4	1	-1	1	4	-1	PSD_RANK_2	INCOMPARABLE	1/4	0	4	1	1/16	0
P000_091	S000	S091	4	1	-1	1	4	-1/2	PSD_RANK_2	INCOMPARABLE	1/4	1/2	4	1	1/16	1/2
P000_092	S000	S092	4	1	-1	1	4	0	PSD_RANK_2	INCOMPARABLE	1/4	1	4	1	1/16	1
P000_093	S000	S093	4	1	-1	1	4	1/2	PSD_RANK_2	INCOMPARABLE	1/4	3/2	4	1	1/16	3/2
P000_094	S000	S094	4	1	-1	1	4	1	PSD_RANK_2	INCOMPARABLE	1/4	2	4	1	1/16	2
P000_095	S000	S095	4	1	-1	1	5	-1	PSD_RANK_2	INCOMPARABLE	1/4	0	5	5/4	1/20	0
P000_096	S000	S096	4	1	-1	1	5	-1/2	PSD_RANK_2	INCOMPARABLE	1/4	1/2	5	5/4	1/20	1/2
P000_097	S000	S097	4	1	-1	1	5	0	PSD_RANK_2	INCOMPARABLE	1/4	1	5	5/4	1/20	1
P000_098	S000	S098	4	1	-1	1	5	1/2	PSD_RANK_2	INCOMPARABLE	1/4	3/2	5	5/4	1/20	3/2
P000_099	S000	S099	4	1	-1	1	5	1	PSD_RANK_2	INCOMPARABLE	1/4	2	5	5/4	1/20	2
P001_000	S001	S000	4	1	-1/2	4	1	-1	INCOMPARABLE	INCOMPARABLE	1	-2	1	1	1	-1/2
P001_001	S001	S001	4	1	-1/2	4	1	-1/2	PSD_RANK_0	PSD_RANK_0	1	0	1	1	1	0
P001_002	S001	S002	4	1	-1/2	4	1	0	INCOMPARABLE	INCOMPARABLE	1	2	1	1	1	1/2
P001_003	S001	S003	4	1	-1/2	4	1	1/2	INCOMPARABLE	INCOMPARABLE	1	4	1	1	1	1
P001_004	S001	S004	4	1	-1/2	4	1	1	INCOMPARABLE	INCOMPARABLE	1	6	1	1	1	3/2
P001_005	S001	S005	4	1	-1/2	4	2	-1	INCOMPARABLE	INCOMPARABLE	1	-2	2	2	1/2	-1/2
P001_006	S001	S006	4	1	-1/2	4	2	-1/2	PSD_RANK_1	INCOMPARABLE	1	0	2	2	1/2	0
P001_007	S001	S007	4	1	-1/2	4	2	0	INCOMPARABLE	INCOMPARABLE	1	2	2	2	1/2	1/2
P001_008	S001	S008	4	1	-1/2	4	2	1/2	INCOMPARABLE	INCOMPARABLE	1	4	2	2	1/2	1
P001_009	S001	S009	4	1	-1/2	4	2	1	INCOMPARABLE	INCOMPARABLE	1	6	2	2	1/2	3/2
P001_010	S001	S010	4	1	-1/2	4	3	-1	INCOMPARABLE	INCOMPARABLE	1	-2	3	3	1/3	-1/2
P001_011	S001	S011	4	1	-1/2	4	3	-1/2	PSD_RANK_1	INCOMPARABLE	1	0	3	3	1/3	0
P001_012	S001	S012	4	1	-1/2	4	3	0	INCOMPARABLE	INCOMPARABLE	1	2	3	3	1/3	1/2
P001_013	S001	S013	4	1	-1/2	4	3	1/2	INCOMPARABLE	INCOMPARABLE	1	4	3	3	1/3	1
P001_014	S001	S014	4	1	-1/2	4	3	1	INCOMPARABLE	INCOMPARABLE	1	6	3	3	1/3	3/2
P001_015	S001	S015	4	1	-1/2	4	4	-1	INCOMPARABLE	INCOMPARABLE	1	-2	4	4	1/4	-1/2
P001_016	S001	S016	4	1	-1/2	4	4	-1/2	PSD_RANK_1	INCOMPARABLE	1	0	4	4	1/4	0
P001_017	S001	S017	4	1	-1/2	4	4	0	INCOMPARABLE	INCOMPARABLE	1	2	4	4	1/4	1/2
P001_018	S001	S018	4	1	-1/2	4	4	1/2	INCOMPARABLE	INCOMPARABLE	1	4	4	4	1/4	1
P001_019	S001	S019	4	1	-1/2	4	4	1	INCOMPARABLE	INCOMPARABLE	1	6	4	4	1/4	3/2
P001_020	S001	S020	4	1	-1/2	4	5	-1	INCOMPARABLE	INCOMPARABLE	1	-2	5	5	1/5	-1/2
P001_021	S001	S021	4	1	-1/2	4	5	-1/2	PSD_RANK_1	INCOMPARABLE	1	0	5	5	1/5	0
P001_022	S001	S022	4	1	-1/2	4	5	0	INCOMPARABLE	INCOMPARABLE	1	2	5	5	1/5	1/2
P001_023	S001	S023	4	1	-1/2	4	5	1/2	INCOMPARABLE	INCOMPARABLE	1	4	5	5	1/5	1
P001_024	S001	S024	4	1	-1/2	4	5	1	INCOMPARABLE	INCOMPARABLE	1	6	5	5	1/5	3/2
P001_025	S001	S025	4	1	-1/2	3	1	-1	INCOMPARABLE	INCOMPARABLE	3/4	-3/2	1	3/4	3/4	-1/2
P001_026	S001	S026	4	1	-1/2	3	1	-1/2	PSD_RANK_1	INCOMPARABLE	3/4	0	1	3/4	3/4	0
P001_027	S001	S027	4	1	-1/2	3	1	0	INCOMPARABLE	INCOMPARABLE	3/4	3/2	1	3/4	3/4	1/2
P001_028	S001	S028	4	1	-1/2	3	1	1/2	INCOMPARABLE	INCOMPARABLE	3/4	3	1	3/4	3/4	1
P001_029	S001	S029	4	1	-1/2	3	1	1	INCOMPARABLE	INCOMPARABLE	3/4	9/2	1	3/4	3/4	3/2
P001_030	S001	S030	4	1	-1/2	3	2	-1	INCOMPARABLE	INCOMPARABLE	3/4	-3/2	2	3/2	3/8	-1/2
P001_031	S001	S031	4	1	-1/2	3	2	-1/2	PSD_RANK_2	INCOMPARABLE	3/4	0	2	3/2	3/8	0
P001_032	S001	S032	4	1	-1/2	3	2	0	INCOMPARABLE	INCOMPARABLE	3/4	3/2	2	3/2	3/8	1/2
P001_033	S001	S033	4	1	-1/2	3	2	1/2	INCOMPARABLE	INCOMPARABLE	3/4	3	2	3/2	3/8	1
P001_034	S001	S034	4	1	-1/2	3	2	1	INCOMPARABLE	INCOMPARABLE	3/4	9/2	2	3/2	3/8	3/2
P001_035	S001	S035	4	1	-1/2	3	3	-1	PSD_RANK_2	INCOMPARABLE	3/4	-3/2	3	9/4	1/4	-1/2
P001_036	S001	S036	4	1	-1/2	3	3	-1/2	PSD_RANK_2	INCOMPARABLE	3/4	0	3	9/4	1/4	0
P001_037	S001	S037	4	1	-1/2	3	3	0	PSD_RANK_2	INCOMPARABLE	3/4	3/2	3	9/4	1/4	1/2
P001_038	S001	S038	4	1	-1/2	3	3	1/2	INCOMPARABLE	INCOMPARABLE	3/4	3	3	9/4	1/4	1
P001_039	S001	S039	4	1	-1/2	3	3	1	INCOMPARABLE	INCOMPARABLE	3/4	9/2	3	9/4	1/4	3/2
P001_040	S001	S040	4	1	-1/2	3	4	-1	PSD_RANK_2	INCOMPARABLE	3/4	-3/2	4	3	3/16	-1/2
P001_041	S001	S041	4	1	-1/2	3	4	-1/2	PSD_RANK_2	INCOMPARABLE	3/4	0	4	3	3/16	0
P001_042	S001	S042	4	1	-1/2	3	4	0	PSD_RANK_2	INCOMPARABLE	3/4	3/2	4	3	3/16	1/2
P001_043	S001	S043	4	1	-1/2	3	4	1/2	INCOMPARABLE	INCOMPARABLE	3/4	3	4	3	3/16	1
P001_044	S001	S044	4	1	-1/2	3	4	1	INCOMPARABLE	INCOMPARABLE	3/4	9/2	4	3	3/16	3/2
P001_045	S001	S045	4	1	-1/2	3	5	-1	PSD_RANK_2	INCOMPARABLE	3/4	-3/2	5	15/4	3/20	-1/2
P001_046	S001	S046	4	1	-1/2	3	5	-1/2	PSD_RANK_2	INCOMPARABLE	3/4	0	5	15/4	3/20	0
P001_047	S001	S047	4	1	-1/2	3	5	0	PSD_RANK_2	INCOMPARABLE	3/4	3/2	5	15/4	3/20	1/2
P001_048	S001	S048	4	1	-1/2	3	5	1/2	PSD_RANK_2	INCOMPARABLE	3/4	3	5	15/4	3/20	1
P001_049	S001	S049	4	1	-1/2	3	5	1	INCOMPARABLE	INCOMPARABLE	3/4	9/2	5	15/4	3/20	3/2
P001_050	S001	S050	4	1	-1/2	2	1	-1	INCOMPARABLE	INCOMPARABLE	1/2	-1	1	1/2	1/2	-1/2
P001_051	S001	S051	4	1	-1/2	2	1	-1/2	PSD_RANK_1	INCOMPARABLE	1/2	0	1	1/2	1/2	0
P001_052	S001	S052	4	1	-1/2	2	1	0	INCOMPARABLE	INCOMPARABLE	1/2	1	1	1/2	1/2	1/2
P001_053	S001	S053	4	1	-1/2	2	1	1/2	INCOMPARABLE	INCOMPARABLE	1/2	2	1	1/2	1/2	1
P001_054	S001	S054	4	1	-1/2	2	1	1	INCOMPARABLE	INCOMPARABLE	1/2	3	1	1/2	1/2	3/2
P001_055	S001	S055	4	1	-1/2	2	2	-1	PSD_RANK_2	INCOMPARABLE	1/2	-1	2	1	1/4	-1/2
P001_056	S001	S056	4	1	-1/2	2	2	-1/2	PSD_RANK_2	INCOMPARABLE	1/2	0	2	1	1/4	0
P001_057	S001	S057	4	1	-1/2	2	2	0	PSD_RANK_2	INCOMPARABLE	1/2	1	2	1	1/4	1/2
P001_058	S001	S058	4	1	-1/2	2	2	1/2	INCOMPARABLE	INCOMPARABLE	1/2	2	2	1	1/4	1
P001_059	S001	S059	4	1	-1/2	2	2	1	INCOMPARABLE	INCOMPARABLE	1/2	3	2	1	1/4	3/2
P001_060	S001	S060	4	1	-1/2	2	3	-1	PSD_RANK_2	INCOMPARABLE	1/2	-1	3	3/2	1/6	-1/2
P001_061	S001	S061	4	1	-1/2	2	3	-1/2	PSD_RANK_2	INCOMPARABLE	1/2	0	3	3/2	1/6	0
P001_062	S001	S062	4	1	-1/2	2	3	0	PSD_RANK_2	INCOMPARABLE	1/2	1	3	3/2	1/6	1/2
P001_063	S001	S063	4	1	-1/2	2	3	1/2	PSD_RANK_2	INCOMPARABLE	1/2	2	3	3/2	1/6	1
P001_064	S001	S064	4	1	-1/2	2	3	1	INCOMPARABLE	INCOMPARABLE	1/2	3	3	3/2	1/6	3/2
P001_065	S001	S065	4	1	-1/2	2	4	-1	PSD_RANK_2	INCOMPARABLE	1/2	-1	4	2	1/8	-1/2
P001_066	S001	S066	4	1	-1/2	2	4	-1/2	PSD_RANK_2	INCOMPARABLE	1/2	0	4	2	1/8	0
P001_067	S001	S067	4	1	-1/2	2	4	0	PSD_RANK_2	INCOMPARABLE	1/2	1	4	2	1/8	1/2
P001_068	S001	S068	4	1	-1/2	2	4	1/2	PSD_RANK_2	INCOMPARABLE	1/2	2	4	2	1/8	1
P001_069	S001	S069	4	1	-1/2	2	4	1	PSD_RANK_2	INCOMPARABLE	1/2	3	4	2	1/8	3/2
P001_070	S001	S070	4	1	-1/2	2	5	-1	PSD_RANK_2	INCOMPARABLE	1/2	-1	5	5/2	1/10	-1/2
P001_071	S001	S071	4	1	-1/2	2	5	-1/2	PSD_RANK_2	INCOMPARABLE	1/2	0	5	5/2	1/10	0
P001_072	S001	S072	4	1	-1/2	2	5	0	PSD_RANK_2	INCOMPARABLE	1/2	1	5	5/2	1/10	1/2
P001_073	S001	S073	4	1	-1/2	2	5	1/2	PSD_RANK_2	INCOMPARABLE	1/2	2	5	5/2	1/10	1
P001_074	S001	S074	4	1	-1/2	2	5	1	PSD_RANK_2	INCOMPARABLE	1/2	3	5	5/2	1/10	3/2
P001_075	S001	S075	4	1	-1/2	1	1	-1	INCOMPARABLE	INCOMPARABLE	1/4	-1/2	1	1/4	1/4	-1/2
P001_076	S001	S076	4	1	-1/2	1	1	-1/2	PSD_RANK_1	INCOMPARABLE	1/4	0	1	1/4	1/4	0
P001_077	S001	S077	4	1	-1/2	1	1	0	INCOMPARABLE	INCOMPARABLE	1/4	1/2	1	1/4	1/4	1/2
P001_078	S001	S078	4	1	-1/2	1	1	1/2	INCOMPARABLE	INCOMPARABLE	1/4	1	1	1/4	1/4	1
P001_079	S001	S079	4	1	-1/2	1	1	1	INCOMPARABLE	INCOMPARABLE	1/4	3/2	1	1/4	1/4	3/2
P001_080	S001	S080	4	1	-1/2	1	2	-1	PSD_RANK_2	INCOMPARABLE	1/4	-1/2	2	1/2	1/8	-1/2
P001_081	S001	S081	4	1	-1/2	1	2	-1/2	PSD_RANK_2	INCOMPARABLE	1/4	0	2	1/2	1/8	0
P001_082	S001	S082	4	1	-1/2	1	2	0	PSD_RANK_2	INCOMPARABLE	1/4	1/2	2	1/2	1/8	1/2
P001_083	S001	S083	4	1	-1/2	1	2	1/2	PSD_RANK_2	INCOMPARABLE	1/4	1	2	1/2	1/8	1
P001_084	S001	S084	4	1	-1/2	1	2	1	PSD_RANK_2	INCOMPARABLE	1/4	3/2	2	1/2	1/8	3/2
P001_085	S001	S085	4	1	-1/2	1	3	-1	PSD_RANK_2	INCOMPARABLE	1/4	-1/2	3	3/4	1/12	-1/2
P001_086	S001	S086	4	1	-1/2	1	3	-1/2	PSD_RANK_2	INCOMPARABLE	1/4	0	3	3/4	1/12	0
P001_087	S001	S087	4	1	-1/2	1	3	0	PSD_RANK_2	INCOMPARABLE	1/4	1/2	3	3/4	1/12	1/2
P001_088	S001	S088	4	1	-1/2	1	3	1/2	PSD_RANK_2	INCOMPARABLE	1/4	1	3	3/4	1/12	1
P001_089	S001	S089	4	1	-1/2	1	3	1	PSD_RANK_2	INCOMPARABLE	1/4	3/2	3	3/4	1/12	3/2
P001_090	S001	S090	4	1	-1/2	1	4	-1	PSD_RANK_2	INCOMPARABLE	1/4	-1/2	4	1	1/16	-1/2
P001_091	S001	S091	4	1	-1/2	1	4	-1/2	PSD_RANK_2	INCOMPARABLE	1/4	0	4	1	1/16	0
P001_092	S001	S092	4	1	-1/2	1	4	0	PSD_RANK_2	INCOMPARABLE	1/4	1/2	4	1	1/16	1/2
P001_093	S001	S093	4	1	-1/2	1	4	1/2	PSD_RANK_2	INCOMPARABLE	1/4	1	4	1	1/16	1
P001_094	S001	S094	4	1	-1/2	1	4	1	PSD_RANK_2	INCOMPARABLE	1/4	3/2	4	1	1/16	3/2
P001_095	S001	S095	4	1	-1/2	1	5	-1	PSD_RANK_2	INCOMPARABLE	1/4	-1/2	5	5/4	1/20	-1/2
P001_096	S001	S096	4	1	-1/2	1	5	-1/2	PSD_RANK_2	INCOMPARABLE	1/4	0	5	5/4	1/20	0
P001_097	S001	S097	4	1	-1/2	1	5	0	PSD_RANK_2	INCOMPARABLE	1/4	1/2	5	5/4	1/20	1/2
P001_098	S001	S098	4	1	-1/2	1	5	1/2	PSD_RANK_2	INCOMPARABLE	1/4	1	5	5/4	1/20	1
P001_099	S001	S099	4	1	-1/2	1	5	1	PSD_RANK_2	INCOMPARABLE	1/4	3/2	5	5/4	1/20	3/2
P002_000	S002	S000	4	1	0	4	1	-1	INCOMPARABLE	INCOMPARABLE	1	-4	1	1	1	-1
P002_001	S002	S001	4	1	0	4	1	-1/2	INCOMPARABLE	INCOMPARABLE	1	-2	1	1	1	-1/2
P002_002	S002	S002	4	1	0	4	1	0	PSD_RANK_0	PSD_RANK_0	1	0	1	1	1	0
P002_003	S002	S003	4	1	0	4	1	1/2	INCOMPARABLE	INCOMPARABLE	1	2	1	1	1	1/2
P002_004	S002	S004	4	1	0	4	1	1	INCOMPARABLE	INCOMPARABLE	1	4	1	1	1	1
P002_005	S002	S005	4	1	0	4	2	-1	INCOMPARABLE	INCOMPARABLE	1	-4	2	2	1/2	-1
P002_006	S002	S006	4	1	0	4	2	-1/2	INCOMPARABLE	INCOMPARABLE	1	-2	2	2	1/2	-1/2
P002_007	S002	S007	4	1	0	4	2	0	PSD_RANK_1	INCOMPARABLE	1	0	2	2	1/2	0
P002_008	S002	S008	4	1	0	4	2	1/2	INCOMPARABLE	INCOMPARABLE	1	2	2	2	1/2	1/2
P002_009	S002	S009	4	1	0	4	2	1	INCOMPARABLE	INCOMPARABLE	1	4	2	2	1/2	1
P002_010	S002	S010	4	1	0	4	3	-1	INCOMPARABLE	INCOMPARABLE	1	-4	3	3	1/3	-1
P002_011	S002	S011	4	1	0	4	3	-1/2	INCOMPARABLE	INCOMPARABLE	1	-2	3	3	1/3	-1/2
P002_012	S002	S012	4	1	0	4	3	0	PSD_RANK_1	INCOMPARABLE	1	0	3	3	1/3	0
P002_013	S002	S013	4	1	0	4	3	1/2	INCOMPARABLE	INCOMPARABLE	1	2	3	3	1/3	1/2
P002_014	S002	S014	4	1	0	4	3	1	INCOMPARABLE	INCOMPARABLE	1	4	3	3	1/3	1
P002_015	S002	S015	4	1	0	4	4	-1	INCOMPARABLE	INCOMPARABLE	1	-4	4	4	1/4	-1
