endpoint_id	family	n_exact	q_ratio	B_wall	radial_flux_exponent_u	frequency_weight_exponent_u	liouville_length	angular_potential_exponent_x	rotation_potential_exponent_x	endpoint_character	extension_status	D_N_status
E1_n1.055966209081_qr-1.00	R1_AND_R2_NONZERO_MIXING_WALL	1000/947	-1/1	INFINITY	53/947	-53/947	FINITE	-1/1	-1/2	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.055966209081_qr+0.00	R1_AND_R2_NONZERO_MIXING_WALL	1000/947	0/1	INFINITY	500/947	-500/947	FINITE	0/1	0/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.055966209081_qr+0.25	R1_AND_R2_NONZERO_MIXING_WALL	1000/947	1/4	INFINITY	2447/3788	-2447/3788	FINITE	2/3	1/3	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.055966209081_qr+0.50	R1_AND_R2_NONZERO_MIXING_WALL	1000/947	1/2	INFINITY	1447/1894	-1447/1894	FINITE	2/1	1/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.055966209081_qr+0.75	R1_AND_R2_NONZERO_MIXING_WALL	1000/947	3/4	INFINITY	3341/3788	-3341/3788	FINITE	6/1	3/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.055966209081_qr+0.95	R1_AND_R2_NONZERO_MIXING_WALL	1000/947	19/20	INFINITY	18493/18940	-18493/18940	FINITE	38/1	19/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E0_n1.077121930202	R0_ROUND_P1	2500/2321	-	ZERO	2500/2321	-2500/2321	INFINITE	DECAYS_TO_ZERO	ABSENT	LIMIT_POINT	UNIQUE_ENDPOINT_DOMAIN_DERIVED	NOT_FREE_ENDPOINT_DATA
E1_n1.077121930202_qr-2.00	R1_AND_R2_NONZERO_MIXING_WALL	2500/2321	-2/1	INFINITY	-892/2321	892/2321	FINITE	-4/3	-2/3	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.077121930202_qr-1.00	R1_AND_R2_NONZERO_MIXING_WALL	2500/2321	-1/1	INFINITY	179/2321	-179/2321	FINITE	-1/1	-1/2	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.077121930202_qr+0.00	R1_AND_R2_NONZERO_MIXING_WALL	2500/2321	0/1	INFINITY	1250/2321	-1250/2321	FINITE	0/1	0/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.077121930202_qr+0.25	R1_AND_R2_NONZERO_MIXING_WALL	2500/2321	1/4	INFINITY	6071/9284	-6071/9284	FINITE	2/3	1/3	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.077121930202_qr+0.50	R1_AND_R2_NONZERO_MIXING_WALL	2500/2321	1/2	INFINITY	3571/4642	-3571/4642	FINITE	2/1	1/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.077121930202_qr+0.75	R1_AND_R2_NONZERO_MIXING_WALL	2500/2321	3/4	INFINITY	8213/9284	-8213/9284	FINITE	6/1	3/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.077121930202_qr+0.95	R1_AND_R2_NONZERO_MIXING_WALL	2500/2321	19/20	INFINITY	45349/46420	-45349/46420	FINITE	38/1	19/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
