candidate_id	family	inv_n	n_exact	q_ratio	q_exact	represented_h_magnitudes	represented_h_values	B_center	B_wall	mixing_center_status	complete_metric_center_status	ricci_r_times_limit	wall_liouville_length	wall_domain_status	boundary_ownership	profile_provenance	execution_disposition
R2_n1.035411058190_qr+0.50	R2_RA1_LITERAL_LINEAGE	0.9658	5000/4829	1/2	2329/9658	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.035411058190_qr+0.75	R1_CENTER_REGULAR_MIXING_P1	0.9658	5000/4829	3/4	6987/19316	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	30000/4829	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.035411058190_qr+0.75	R2_RA1_LITERAL_LINEAGE	0.9658	5000/4829	3/4	6987/19316	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.035411058190_qr+0.95	R1_CENTER_REGULAR_MIXING_P1	0.9658	5000/4829	19/20	44251/96580	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	30000/4829	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.035411058190_qr+0.95	R2_RA1_LITERAL_LINEAGE	0.9658	5000/4829	19/20	44251/96580	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R0_n1.055966209081	R0_ROUND_P1	0.9470	1000/947	-	-	1	0	ZERO	ZERO	PASS_H_ZERO	FAIL_A_LINEAR_TERM	6000/947	INFINITE	UNIQUE_LIMIT_POINT_CONTINUUM_CONTROL	NO_FREE_D_OR_N_WALL_DATUM	P1_DATA_CONDITIONED_CHOSE_NOT_NATIVE	BLOCKED_C1_CENTER_REGULARITY
R1_n1.055966209081_qr-2.00	R1_CENTER_REGULAR_MIXING_P1	0.9470	1000/947	-2/1	-894/947	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	6000/947	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.055966209081_qr-2.00	R2_RA1_LITERAL_LINEAGE	0.9470	1000/947	-2/1	-894/947	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.055966209081_qr-1.00	R1_CENTER_REGULAR_MIXING_P1	0.9470	1000/947	-1/1	-447/947	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	6000/947	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.055966209081_qr-1.00	R2_RA1_LITERAL_LINEAGE	0.9470	1000/947	-1/1	-447/947	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.055966209081_qr+0.00	R1_CENTER_REGULAR_MIXING_P1	0.9470	1000/947	0/1	0/1	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	6000/947	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.055966209081_qr+0.00	R2_RA1_LITERAL_LINEAGE	0.9470	1000/947	0/1	0/1	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.055966209081_qr+0.25	R1_CENTER_REGULAR_MIXING_P1	0.9470	1000/947	1/4	447/3788	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	6000/947	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.055966209081_qr+0.25	R2_RA1_LITERAL_LINEAGE	0.9470	1000/947	1/4	447/3788	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.055966209081_qr+0.50	R1_CENTER_REGULAR_MIXING_P1	0.9470	1000/947	1/2	447/1894	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	6000/947	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.055966209081_qr+0.50	R2_RA1_LITERAL_LINEAGE	0.9470	1000/947	1/2	447/1894	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.055966209081_qr+0.75	R1_CENTER_REGULAR_MIXING_P1	0.9470	1000/947	3/4	1341/3788	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	6000/947	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.055966209081_qr+0.75	R2_RA1_LITERAL_LINEAGE	0.9470	1000/947	3/4	1341/3788	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.055966209081_qr+0.95	R1_CENTER_REGULAR_MIXING_P1	0.9470	1000/947	19/20	8493/18940	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	6000/947	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.055966209081_qr+0.95	R2_RA1_LITERAL_LINEAGE	0.9470	1000/947	19/20	8493/18940	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R0_n1.077121930202	R0_ROUND_P1	0.9284	2500/2321	-	-	1	0	ZERO	ZERO	PASS_H_ZERO	FAIL_A_LINEAR_TERM	15000/2321	INFINITE	UNIQUE_LIMIT_POINT_CONTINUUM_CONTROL	NO_FREE_D_OR_N_WALL_DATUM	P1_DATA_CONDITIONED_CHOSE_NOT_NATIVE	BLOCKED_C1_CENTER_REGULARITY
R1_n1.077121930202_qr-2.00	R1_CENTER_REGULAR_MIXING_P1	0.9284	2500/2321	-2/1	-2142/2321	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	15000/2321	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.077121930202_qr-2.00	R2_RA1_LITERAL_LINEAGE	0.9284	2500/2321	-2/1	-2142/2321	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.077121930202_qr-1.00	R1_CENTER_REGULAR_MIXING_P1	0.9284	2500/2321	-1/1	-1071/2321	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	15000/2321	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.077121930202_qr-1.00	R2_RA1_LITERAL_LINEAGE	0.9284	2500/2321	-1/1	-1071/2321	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.077121930202_qr+0.00	R1_CENTER_REGULAR_MIXING_P1	0.9284	2500/2321	0/1	0/1	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	15000/2321	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.077121930202_qr+0.00	R2_RA1_LITERAL_LINEAGE	0.9284	2500/2321	0/1	0/1	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.077121930202_qr+0.25	R1_CENTER_REGULAR_MIXING_P1	0.9284	2500/2321	1/4	1071/9284	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	15000/2321	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.077121930202_qr+0.25	R2_RA1_LITERAL_LINEAGE	0.9284	2500/2321	1/4	1071/9284	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.077121930202_qr+0.50	R1_CENTER_REGULAR_MIXING_P1	0.9284	2500/2321	1/2	1071/4642	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	15000/2321	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.077121930202_qr+0.50	R2_RA1_LITERAL_LINEAGE	0.9284	2500/2321	1/2	1071/4642	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.077121930202_qr+0.75	R1_CENTER_REGULAR_MIXING_P1	0.9284	2500/2321	3/4	3213/9284	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	15000/2321	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.077121930202_qr+0.75	R2_RA1_LITERAL_LINEAGE	0.9284	2500/2321	3/4	3213/9284	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.077121930202_qr+0.95	R1_CENTER_REGULAR_MIXING_P1	0.9284	2500/2321	19/20	20349/46420	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	15000/2321	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.077121930202_qr+0.95	R2_RA1_LITERAL_LINEAGE	0.9284	2500/2321	19/20	20349/46420	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
