candidate_id	family_label	G1_complete_variation_domain	G2_off_shell_local_response	G3_tracefree_angular_response	G4_same_solution_mass_volume_density	G5_finite_cell_boundary_global_variation	G6_native_provenance	disposition	load_bearing_evidence	ruling
B11	Finite_cell_completion_atlas	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md:99-115;124-156	The atlas inventories finite-cell completion types but solves no field equations and supplies no differentiable boundary response.
B12	Complete_seal_fixed_set_selector	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_complete_seal_fixed_set_selector_audit_2026-07-21/AUDIT_REPORT.md:7-46	Several complete lift classes survive; scalar seal data do not choose or vary one.
B13	Complete_coframe_seal_involution	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	complete_coframe_seal_involution_2026-07-20/STATUS_LEDGER.tsv:10-24	Local involutions coexist with open caps topology action carrier and complete lift.
B14	Complete_lift_mu_closure	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_complete_lift_mu_closure_audit_2026-07-20/STATUS_LEDGER.tsv:2-16	Lift and cap constructions are conditional alternatives without a global varied response.
B15	Global_coframe_cocycle	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md:93-151	Transition and corner data do not select a cover lift topology or boundary polarization.
B16	Global_metric_assembly_atlas	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md:141-210;237-239	Twelve global families remain parametric and contain no selected on-shell universe or varied boundary functional.
B17	Complete_connector_assembly	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_complete_connector_assembly_audit_2026-07-22/AUDIT_REPORT.md:13-29;132-159	No complete global connector exists; the toric control is a conditional geometry.
B18	Angular_toric_closure	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md:10-41;88-139	The S3 or Hopf completion follows only after supplied periods caps and exchange data and has no response law.
B19	Conditional_C2_Bach_route	ABSENT	PASS	PASS	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL_IMPORTED_OR_POSITED	udt_full_equation_variation_p05_2026-07-21/AUDIT_REPORT.md:12-27;64-75	The conditional four-dimensional C2 lane supplies exact off-shell Bach bulk response and its trace-free angular content but not a complete field domain native selection mass or finite-cell differentiability.
B20	Conditional_EH_route	ABSENT	PASS	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL_IMPORTED_OR_POSITED	udt_full_equation_variation_p05_2026-07-21/AUDIT_REPORT.md:12-27;64-75	The conditional EH lane supplies an off-shell metric bulk response after representative selection but no complete field domain native source same-solution mass or completed boundary variation.
B21	Macro_WRL_SNe_branch	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	ON_SHELL_ONLY	simple_metric_SNe_shape_clue_results.md:6-27;87-120	Observed profile ranking and source-free metric shape do not constitute an off-shell response or derive the winning profile.
B22	Conditional_particle_Hopfion	ABSENT	PASS	ABSENT	CONDITIONAL	ABSENT	CONDITIONAL	CONDITIONAL_IMPORTED_OR_POSITED	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md:19-22;134-140	The supplied S2 L2+L4 carrier has an off-shell carrier variation and conditional energy but no complete field domain native carrier selection metric source or varied finite-cell completion.
B23	Bootstrap_selector_family	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	ON_SHELL_ONLY	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md:8-17;83-100	The present bootstrap is an after-solution predicate and CSN an identity for a chosen action rather than a varied selector.
B24	Reciprocal_pair_wall_module	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_reciprocal_pair_global_module_audit_2026-07-24/AUDIT_REPORT.md:56-81;96-115	The module leaves four exchange lifts and separately supplied caps; it supplies no response.
B25	Time_live_spherical_numerical_branches	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_timelive_spherical_areal_polarization_audit_2026-07-22/AUDIT_REPORT.md:9-17;109-165	The time-live spherical family is explicitly kinematic and uses no action or equation of motion.
B27	Intrinsic_object_Cartan_transport	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_angular_generator_branch_census_2026-07-23/AUDIT_REPORT.md:253-270	Cartan and angular branch data have zero complete on-shell branch witnesses and no varied response.
B28	Global_reciprocal_and_Hopf_realization	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_hopf_realization_deformation_audit_2026-07-23/AUDIT_REPORT.md:175-208;217-225	The FC04 Hopf realization is a restricted conditional seed without native carrier deformation or response.
B29	Global_local_relational_closure	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	NO_RESPONSE_ROLE	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md:95-144	This audit defines the missing response one-form and its integrability tests but explicitly does not derive it.
B30	Founded_phi_complete_coframe_extension	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md:12-40;93-102	Founded pair depth is exact but six complete-coframe extension directions and every action source boundary and selection remain open.
B31	Macro_phi_angular_Xmax_modulation	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_macro_phi_angular_xmax_extension_atlas_2026-07-25/AUDIT_REPORT.md:55-96	Angular modulation channels are metric possibilities in unselected branches and supply no action density or response law.
