candidate_id	family_label	registry_source	registry_row	eligibility	selection_basis	base_commit
B12	Complete_seal_fixed_set_selector	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B12	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B13	Complete_coframe_seal_involution	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B13	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B14	Complete_lift_mu_closure	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B14	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B15	Global_coframe_cocycle	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B15	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B16	Global_metric_assembly_atlas	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B16	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B17	Complete_connector_assembly	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B17	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B18	Angular_toric_closure	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B18	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B19	Conditional_C2_Bach_route	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B19	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B20	Conditional_EH_route	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B20	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B21	Macro_WRL_SNe_branch	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B21	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B22	Conditional_particle_Hopfion	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B22	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B23	Bootstrap_selector_family	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B23	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B24	Reciprocal_pair_wall_module	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B24	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B25	Time_live_spherical_numerical_branches	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B25	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B27	Intrinsic_object_Cartan_transport	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B27	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B28	Global_reciprocal_and_Hopf_realization	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B28	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B29	Global_local_relational_closure	udt_global_local_relational_closure_audit_2026-07-25/SHA256SUMS.txt	PACKAGE	PRIMARY	POST_PARENT_SCIENTIFIC_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B30	Founded_phi_complete_coframe_extension	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/SHA256SUMS.txt	PACKAGE	PRIMARY	POST_PARENT_SCIENTIFIC_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B31	Macro_phi_angular_Xmax_modulation	udt_macro_phi_angular_xmax_extension_atlas_2026-07-25/SHA256SUMS.txt	PACKAGE	PRIMARY	POST_PARENT_SCIENTIFIC_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
