group	candidate_files	category	depth_grade	full_frame_grade	global_grade	joint_operation_grade	primary_evidence	basis	affirmative_joint_operation_found
ROOT::udt_canonical_geometry.md	1	HISTORICAL_OR_FIREWALLED	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NO_AFFIRMATIVE_OPERATION	udt_canonical_geometry.md	Historical, superseded, or pre-July material cannot supply affirmative UDT physics and contains no active typed joint operation.	NO
archive	182	HISTORICAL_OR_FIREWALLED	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NO_AFFIRMATIVE_OPERATION	archive/ALGEBRAIC_MATTER_PATH_PLAN.md	Historical, superseded, or pre-July material cannot supply affirmative UDT physics and contains no active typed joint operation.	NO
archive/native_action_chat_2026-07-14_15	120	HISTORICAL_OR_FIREWALLED	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NO_AFFIRMATIVE_OPERATION	archive/native_action_chat_2026-07-14_15/README.md	Historical, superseded, or pre-July material cannot supply affirmative UDT physics and contains no active typed joint operation.	NO
archive/pre_2026-07-01	11	HISTORICAL_OR_FIREWALLED	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NO_AFFIRMATIVE_OPERATION	archive/pre_2026-07-01/F1F3_closure_results.md	Historical, superseded, or pre-July material cannot supply affirmative UDT physics and contains no active typed joint operation.	NO
c2_failed_basin_homotopy_2026-07-20	31	OUT_OF_SCOPE_PARTICLE_OR_ACTION	NOT_JOINT_DEPTH_SOURCE	SCOPED_OTHER_LANE	NOT_JOINT_GLOBAL_SOURCE	NO_OPERATION	c2_failed_basin_homotopy_2026-07-20/AUDIT_REPORT.md	The package concerns a particle/action branch or off-shell constraint and does not map the complete metric to all three kinematic outputs.	NO
c2_open_path_checkpoint_continuation_2026-07-20	22	OUT_OF_SCOPE_PARTICLE_OR_ACTION	NOT_JOINT_DEPTH_SOURCE	SCOPED_OTHER_LANE	NOT_JOINT_GLOBAL_SOURCE	NO_OPERATION	c2_open_path_checkpoint_continuation_2026-07-20/AUDIT_REPORT.md	The package concerns a particle/action branch or off-shell constraint and does not map the complete metric to all three kinematic outputs.	NO
c2_transverse_coframe_closure_2026-07-20	24	OUT_OF_SCOPE_PARTICLE_OR_ACTION	NOT_JOINT_DEPTH_SOURCE	SCOPED_OTHER_LANE	NOT_JOINT_GLOBAL_SOURCE	NO_OPERATION	c2_transverse_coframe_closure_2026-07-20/AUDIT_REPORT.md	The package concerns a particle/action branch or off-shell constraint and does not map the complete metric to all three kinematic outputs.	NO
invariant_reciprocal_causal_flow_2026-07-18	15	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	invariant_reciprocal_causal_flow_2026-07-18/STATUS_LEDGER.tsv	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
legacy/root_oneoffs_2026-07-01	814	HISTORICAL_OR_FIREWALLED	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NO_AFFIRMATIVE_OPERATION	legacy/root_oneoffs_2026-07-01/B1_mass_charge_identities.py	Historical, superseded, or pre-July material cannot supply affirmative UDT physics and contains no active typed joint operation.	NO
projective_position_direction_magnitude_correction_2026-07-19	18	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
projective_position_join_audit_2026-07-19	18	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	projective_position_join_audit_2026-07-19/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
reciprocal_c_clock_channel_correction_2026-07-19	18	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	reciprocal_c_clock_channel_correction_2026-07-19/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
reciprocal_clock_optical_scale_selector_2026-07-19	14	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	reciprocal_clock_optical_scale_selector_2026-07-19/STATUS_LEDGER.tsv	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
reciprocity_offshell_constraint_selector_2026-07-18	11	OUT_OF_SCOPE_PARTICLE_OR_ACTION	NOT_JOINT_DEPTH_SOURCE	SCOPED_OTHER_LANE	NOT_JOINT_GLOBAL_SOURCE	NO_OPERATION	reciprocity_offshell_constraint_selector_2026-07-18/STATUS_LEDGER.tsv	The package concerns a particle/action branch or off-shell constraint and does not map the complete metric to all three kinematic outputs.	NO
rescued_workspaces/2026-06-11/tmp_loose_scripts	157	HISTORICAL_OR_FIREWALLED	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NO_AFFIRMATIVE_OPERATION	rescued_workspaces/2026-06-11/tmp_loose_scripts/adv_weld_attack2.py	Historical, superseded, or pre-July material cannot supply affirmative UDT physics and contains no active typed joint operation.	NO
research	24	CONTROL_NAVIGATION_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	NO_OPERATION	research/README.md	Navigation/current-status material and unrelated moved research artifacts do not introduce a typed joint construction.	NO
transverse_reciprocal_realization_selector_2026-07-19	16	LIFT_OR_TRANSPORT_PARTIAL	OPEN_OR_SUPPLIED	PARTIAL_OR_FAMILY	OPEN	NO_JOINT_OPERATION	transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	The source classifies a lift, response, projector, transport, or soldering family but retains physical depth, residual moduli, or global completion.	NO
udt_cleanroom_metric_reduction_readiness_audit_2026-07-27	23	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_cleanroom_metric_reduction_readiness_audit_2026-07-27/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_clock_anchor_scale_threading_audit_2026-07-22	23	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	udt_clock_anchor_scale_threading_audit_2026-07-22/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
udt_coframe_hopf_bridge_audit_2026-07-23	24	LIFT_OR_TRANSPORT_PARTIAL	OPEN_OR_SUPPLIED	PARTIAL_OR_FAMILY	OPEN	NO_JOINT_OPERATION	udt_coframe_hopf_bridge_audit_2026-07-23/AUDIT_REPORT.md	The source classifies a lift, response, projector, transport, or soldering family but retains physical depth, residual moduli, or global completion.	NO
udt_complete_branch_founded_pair_pullback_audit_2026-07-26	32	CONDITIONAL_CONFIGURATION_OR_MULTI_LAYER	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	SUPPLIED_OR_OPEN	NO_DERIVED_JOINT_OPERATION	udt_complete_branch_founded_pair_pullback_audit_2026-07-26/AUDIT_REPORT.md	A complete configuration or exact conditional multi-layer construction exists only after path, depth, branch, lambda, or completion input; residual families remain.	NO
udt_complete_coframe_metric_telescope_p01_2026-07-27	37	LIFT_OR_TRANSPORT_PARTIAL	OPEN_OR_SUPPLIED	PARTIAL_OR_FAMILY	OPEN	NO_JOINT_OPERATION	udt_complete_coframe_metric_telescope_p01_2026-07-27/AUDIT_REPORT.md	The source classifies a lift, response, projector, transport, or soldering family but retains physical depth, residual moduli, or global completion.	NO
udt_complete_coframe_physical_comparison_functor_audit_2026-07-27	32	CONDITIONAL_CONFIGURATION_OR_MULTI_LAYER	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	SUPPLIED_OR_OPEN	NO_DERIVED_JOINT_OPERATION	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/AUDIT_REPORT.md	A complete configuration or exact conditional multi-layer construction exists only after path, depth, branch, lambda, or completion input; residual families remain.	NO
udt_complete_metric_realization_zoomout_2026-07-23	32	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_complete_metric_realization_zoomout_2026-07-23/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27	28	CONDITIONAL_CONFIGURATION_OR_MULTI_LAYER	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	SUPPLIED_OR_OPEN	NO_DERIVED_JOINT_OPERATION	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/AUDIT_REPORT.md	A complete configuration or exact conditional multi-layer construction exists only after path, depth, branch, lambda, or completion input; residual families remain.	NO
udt_complete_physical_comparison_map_audit_2026-07-27	32	CONDITIONAL_CONFIGURATION_OR_MULTI_LAYER	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	SUPPLIED_OR_OPEN	NO_DERIVED_JOINT_OPERATION	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md	A complete configuration or exact conditional multi-layer construction exists only after path, depth, branch, lambda, or completion input; residual families remain.	NO
udt_complete_relational_configuration_variation_domain_audit_2026-07-26	36	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_complete_relational_configuration_variation_domain_audit_2026-07-26/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_finite_cell_cartan_transport_atlas_2026-07-23	23	GLOBAL_OR_COMPLETION_PARTIAL	OPEN_OR_SUPPLIED	OPEN_OR_CONDITIONAL	PARTIAL_OR_FAMILY	NO_JOINT_OPERATION	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	The source classifies transport, seal, seam, holonomy, interface, or completion data without deriving the physical depth and complete lift jointly.	NO
udt_foundational_semantic_regression_correction_2026-07-26	19	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	udt_foundational_semantic_regression_correction_2026-07-26/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
udt_founded_pair_first_jet_one_form_atlas_2026-07-26	32	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	udt_founded_pair_first_jet_one_form_atlas_2026-07-26/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
udt_founded_phi_complete_coframe_extension_audit_2026-07-25	24	LIFT_OR_TRANSPORT_PARTIAL	OPEN_OR_SUPPLIED	PARTIAL_OR_FAMILY	OPEN	NO_JOINT_OPERATION	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	The source classifies a lift, response, projector, transport, or soldering family but retains physical depth, residual moduli, or global completion.	NO
udt_founding_observer_comparison_semantics_audit_2026-07-27	29	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
udt_founding_reciprocity_object_audit_2026-07-27	34	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
udt_free_global_seal_transversality_audit_2026-07-21	25	GLOBAL_OR_COMPLETION_PARTIAL	OPEN_OR_SUPPLIED	OPEN_OR_CONDITIONAL	PARTIAL_OR_FAMILY	NO_JOINT_OPERATION	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	The source classifies transport, seal, seam, holonomy, interface, or completion data without deriving the physical depth and complete lift jointly.	NO
udt_full_local_jet_strata_p02_2026-07-27	33	LIFT_OR_TRANSPORT_PARTIAL	OPEN_OR_SUPPLIED	PARTIAL_OR_FAMILY	OPEN	NO_JOINT_OPERATION	udt_full_local_jet_strata_p02_2026-07-27/AUDIT_REPORT.md	The source classifies a lift, response, projector, transport, or soldering family but retains physical depth, residual moduli, or global completion.	NO
udt_global_coframe_compatibility_p03_2026-07-27	21	GLOBAL_OR_COMPLETION_PARTIAL	OPEN_OR_SUPPLIED	OPEN_OR_CONDITIONAL	PARTIAL_OR_FAMILY	NO_JOINT_OPERATION	udt_global_coframe_compatibility_p03_2026-07-27/AUDIT_REPORT.md	The source classifies transport, seal, seam, holonomy, interface, or completion data without deriving the physical depth and complete lift jointly.	NO
udt_global_functional_dof_constraint_rank_audit_2026-07-26	36	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_global_functional_dof_constraint_rank_audit_2026-07-26/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_global_local_relational_closure_audit_2026-07-25	19	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_global_reciprocal_bundle_assembly_audit_2026-07-26	36	CONDITIONAL_CONFIGURATION_OR_MULTI_LAYER	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	SUPPLIED_OR_OPEN	NO_DERIVED_JOINT_OPERATION	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	A complete configuration or exact conditional multi-layer construction exists only after path, depth, branch, lambda, or completion input; residual families remain.	NO
udt_global_reciprocal_persistence_selector_audit_2026-07-23	26	GLOBAL_OR_COMPLETION_PARTIAL	OPEN_OR_SUPPLIED	OPEN_OR_CONDITIONAL	PARTIAL_OR_FAMILY	NO_JOINT_OPERATION	udt_global_reciprocal_persistence_selector_audit_2026-07-23/AUDIT_REPORT.md	The source classifies transport, seal, seam, holonomy, interface, or completion data without deriving the physical depth and complete lift jointly.	NO
udt_gr_lorentzian_relational_architecture_audit_2026-07-27	21	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_gr_lorentzian_relational_architecture_audit_2026-07-27/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_intrinsic_optical_transport_atlas_2026-07-27	33	LIFT_OR_TRANSPORT_PARTIAL	OPEN_OR_SUPPLIED	PARTIAL_OR_FAMILY	OPEN	NO_JOINT_OPERATION	udt_intrinsic_optical_transport_atlas_2026-07-27/AUDIT_REPORT.md	The source classifies a lift, response, projector, transport, or soldering family but retains physical depth, residual moduli, or global completion.	NO
udt_intrinsic_reciprocal_holonomy_audit_2026-07-27	35	GLOBAL_OR_COMPLETION_PARTIAL	OPEN_OR_SUPPLIED	OPEN_OR_CONDITIONAL	PARTIAL_OR_FAMILY	NO_JOINT_OPERATION	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/AUDIT_REPORT.md	The source classifies transport, seal, seam, holonomy, interface, or completion data without deriving the physical depth and complete lift jointly.	NO
udt_macro_phi_angular_xmax_extension_atlas_2026-07-25	19	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_macro_phi_angular_xmax_extension_atlas_2026-07-25/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_metric_native_nontriviality_connector_audit_2026-07-25	32	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_metric_native_nontriviality_connector_audit_2026-07-25/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_metric_native_selector_rank_closure_audit_2026-07-27	33	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_metric_native_selector_rank_closure_audit_2026-07-27/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_metric_native_signed_depth_availability_audit_2026-07-26	34	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	udt_metric_native_signed_depth_availability_audit_2026-07-26/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
udt_metric_natural_complete_extension_selector_audit_2026-07-27	44	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_metric_natural_complete_extension_selector_audit_2026-07-27/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_metric_to_frontier_reference_2026-07-22	30	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_metric_to_frontier_reference_2026-07-22/ADJUDICATION_CATCH_PROOFS.tsv	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_native_global_coframe_definition_audit_2026-07-28	33	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_native_global_coframe_definition_audit_2026-07-28/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_native_reciprocal_comparison_bundle_audit_2026-07-27	29	LIFT_OR_TRANSPORT_PARTIAL	OPEN_OR_SUPPLIED	PARTIAL_OR_FAMILY	OPEN	NO_JOINT_OPERATION	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/AUDIT_REPORT.md	The source classifies a lift, response, projector, transport, or soldering family but retains physical depth, residual moduli, or global completion.	NO
udt_observer_depth_angle_transition_audit_2026-07-24	28	LIFT_OR_TRANSPORT_PARTIAL	OPEN_OR_SUPPLIED	PARTIAL_OR_FAMILY	OPEN	NO_JOINT_OPERATION	udt_observer_depth_angle_transition_audit_2026-07-24/AUDIT_REPORT.md	The source classifies a lift, response, projector, transport, or soldering family but retains physical depth, residual moduli, or global completion.	NO
udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24	26	LIFT_OR_TRANSPORT_PARTIAL	OPEN_OR_SUPPLIED	PARTIAL_OR_FAMILY	OPEN	NO_JOINT_OPERATION	udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/AUDIT_REPORT.md	The source classifies a lift, response, projector, transport, or soldering family but retains physical depth, residual moduli, or global completion.	NO
udt_observer_pair_clock_operator_audit_2026-07-24	29	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26	31	CONDITIONAL_CONFIGURATION_OR_MULTI_LAYER	PARTIAL_OR_CONDITIONAL	PARTIAL_OR_CONDITIONAL	SUPPLIED_OR_OPEN	NO_DERIVED_JOINT_OPERATION	udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	A complete configuration or exact conditional multi-layer construction exists only after path, depth, branch, lambda, or completion input; residual families remain.	NO
udt_observer_pair_xmax_bridge_audit_2026-07-27	30	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_observer_pair_xmax_bridge_audit_2026-07-27/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_phi_causal_interface_atlas_2026-07-22	29	GLOBAL_OR_COMPLETION_PARTIAL	OPEN_OR_SUPPLIED	OPEN_OR_CONDITIONAL	PARTIAL_OR_FAMILY	NO_JOINT_OPERATION	udt_phi_causal_interface_atlas_2026-07-22/AUDIT_REPORT.md	The source classifies transport, seal, seam, holonomy, interface, or completion data without deriving the physical depth and complete lift jointly.	NO
udt_pre_p06_boundary_selector_audit_2026-07-21	26	GLOBAL_OR_COMPLETION_PARTIAL	OPEN_OR_SUPPLIED	OPEN_OR_CONDITIONAL	PARTIAL_OR_FAMILY	NO_JOINT_OPERATION	udt_pre_p06_boundary_selector_audit_2026-07-21/AUDIT_REPORT.md	The source classifies transport, seal, seam, holonomy, interface, or completion data without deriving the physical depth and complete lift jointly.	NO
udt_premise_reset_audit_2026-07-19	20	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
udt_reciprocal_seam_descent_audit_2026-07-23	27	GLOBAL_OR_COMPLETION_PARTIAL	OPEN_OR_SUPPLIED	OPEN_OR_CONDITIONAL	PARTIAL_OR_FAMILY	NO_JOINT_OPERATION	udt_reciprocal_seam_descent_audit_2026-07-23/AUDIT_REPORT.md	The source classifies transport, seal, seam, holonomy, interface, or completion data without deriving the physical depth and complete lift jointly.	NO
udt_reciprocal_subbundle_ownership_audit_2026-07-22	21	LIFT_OR_TRANSPORT_PARTIAL	OPEN_OR_SUPPLIED	PARTIAL_OR_FAMILY	OPEN	NO_JOINT_OPERATION	udt_reciprocal_subbundle_ownership_audit_2026-07-22/AUDIT_REPORT.md	The source classifies a lift, response, projector, transport, or soldering family but retains physical depth, residual moduli, or global completion.	NO
udt_relational_metric_fixed_point_typing_audit_2026-07-26	35	NO_SELECTOR_OR_TYPING_RESULT	OPEN_OR_TYPED	OPEN_OR_TYPED	OPEN_OR_TYPED	EXPLICIT_NO_SELECTOR	udt_relational_metric_fixed_point_typing_audit_2026-07-26/AUDIT_REPORT.md	The package explicitly finds missing rank, missing typed arrows, no surviving selector, or an open connector rather than a joint operation.	NO
udt_relational_pair_depth_realization_audit_2026-07-24	30	PAIR_OR_DEPTH_PARTIAL	PARTIAL_OR_CONDITIONAL	OPEN	OPEN	NO_JOINT_OPERATION	udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	The source derives, corrects, or constrains the founded reciprocal pair/depth layer while retaining full-frame or global data as open or supplied.	NO
