path	group	buckets	bucket_count	qualifying_group
F2_closure_results.md	ROOT::F2_closure_results.md	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO
F2_matter_action_forcedness_results.md	ROOT::F2_matter_action_forcedness_results.md	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO
F4_seal_boundary_MAP.md	ROOT::F4_seal_boundary_MAP.md	B4_GLOBAL;B5_JOINT	2	NO
F5_critical_universe_closure_results.md	ROOT::F5_critical_universe_closure_results.md	B4_GLOBAL;B5_JOINT	2	NO
F6_postulate_A_ledger_results.md	ROOT::F6_postulate_A_ledger_results.md	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
F7_scale_bridge_native_results.md	ROOT::F7_scale_bridge_native_results.md	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO
F8_metric_choices_results.md	ROOT::F8_metric_choices_results.md	B1_FOUNDING;B5_JOINT	2	NO
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	ROOT::FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	B1_FOUNDING;B2_DEPTH;B4_GLOBAL;B5_JOINT	4	NO
GR_NUMERICS_RESEARCH_2026-06-29.md	ROOT::GR_NUMERICS_RESEARCH_2026-06-29.md	B4_GLOBAL;B5_JOINT	2	NO
H3_hopfion_solve_preregistration.md	ROOT::H3_hopfion_solve_preregistration.md	B5_JOINT	1	NO
H4_GP_switch_hopfion_MAP.md	ROOT::H4_GP_switch_hopfion_MAP.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
H4_N1_offround_transverse_equation_results.md	ROOT::H4_N1_offround_transverse_equation_results.md	B5_JOINT	1	NO
H4_N2_farfield_reduction_results.md	ROOT::H4_N2_farfield_reduction_results.md	B5_JOINT	1	NO
H4_N4_backreaction_solve_preregistration.md	ROOT::H4_N4_backreaction_solve_preregistration.md	B3_LIFT;B5_JOINT	2	NO
H4_N4_backreaction_solve_results.md	ROOT::H4_N4_backreaction_solve_results.md	B3_LIFT;B5_JOINT	2	NO
H4_N4a_source_background_audit_results.md	ROOT::H4_N4a_source_background_audit_results.md	B4_GLOBAL;B5_JOINT	2	NO
H4_N4rev_conditional_mass_response_results.md	ROOT::H4_N4rev_conditional_mass_response_results.md	B2_DEPTH;B4_GLOBAL;B5_JOINT	3	NO
H4_N4rev_sign_certification_results.md	ROOT::H4_N4rev_sign_certification_results.md	B2_DEPTH;B3_LIFT;B5_JOINT	3	NO
H4_N5_whole_cell_criticality_MAP.md	ROOT::H4_N5_whole_cell_criticality_MAP.md	B4_GLOBAL;B5_JOINT	2	NO
H4_N5a_whole_cell_criticality_rederivation_results.md	ROOT::H4_N5a_whole_cell_criticality_rederivation_results.md	B5_JOINT	1	NO
H4_N5b_flux_budget_closure_results.md	ROOT::H4_N5b_flux_budget_closure_results.md	B4_GLOBAL;B5_JOINT	2	NO
H4_backreaction_mass_MAP.md	ROOT::H4_backreaction_mass_MAP.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
H4_screening_taxonomy_MAP.md	ROOT::H4_screening_taxonomy_MAP.md	B4_GLOBAL;B5_JOINT	2	NO
HANDOFF.md	ROOT::HANDOFF.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES
HANDOFF_ARCHIVE.md	ROOT::HANDOFF_ARCHIVE.md	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
HYGIENE_HEADER_TEMPLATE.md	ROOT::HYGIENE_HEADER_TEMPLATE.md	B1_FOUNDING;B5_JOINT	2	NO
INDEX.md	ROOT::INDEX.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES
J_of_s_light_deflection_confrontation_MAP.md	ROOT::J_of_s_light_deflection_confrontation_MAP.md	B1_FOUNDING;B5_JOINT	2	NO
LIVE.md	ROOT::LIVE.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES
MATTER_SECTOR_MAP_new_foundation.md	ROOT::MATTER_SECTOR_MAP_new_foundation.md	B4_GLOBAL;B5_JOINT	2	NO
MEMORY.md	ROOT::MEMORY.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES
N5d_solver_build_plan.md	ROOT::N5d_solver_build_plan.md	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO
NEGATIVES_REGISTRY.md	ROOT::NEGATIVES_REGISTRY.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES
P1_PURITY_HARNESS_MAP.md	ROOT::P1_PURITY_HARNESS_MAP.md	B1_FOUNDING;B5_JOINT	2	NO
P5e_proper_results.md	ROOT::P5e_proper_results.md	B4_GLOBAL;B5_JOINT	2	NO
PROBLEM_STATEMENT.md	ROOT::PROBLEM_STATEMENT.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
PROVENANCE.md	ROOT::PROVENANCE.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
PURSUIT_CHARTER_2026-07-04.md	ROOT::PURSUIT_CHARTER_2026-07-04.md	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
QUANTIZATION_MAP.md	ROOT::QUANTIZATION_MAP.md	B1_FOUNDING;B5_JOINT	2	NO
README.md	ROOT::README.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
SIMPLE_METRIC_MACRO.md	ROOT::SIMPLE_METRIC_MACRO.md	B1_FOUNDING;B5_JOINT	2	NO
SOLVER_INTEGRITY_UPGRADES_SPEC.md	ROOT::SOLVER_INTEGRITY_UPGRADES_SPEC.md	B1_FOUNDING;B5_JOINT	2	NO
STATE.md	ROOT::STATE.md	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
STRUCTURE_HYGIENE.md	ROOT::STRUCTURE_HYGIENE.md	B1_FOUNDING;B5_JOINT	2	NO
TRACTABILITY_ROUTES.md	ROOT::TRACTABILITY_ROUTES.md	B1_FOUNDING;B5_JOINT	2	NO
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	ROOT::UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_DOTTED_LINE.md	ROOT::UDT_DOTTED_LINE.md	B1_FOUNDING;B5_JOINT	2	NO
UDT_ELEGANCE_UNCOVER.md	ROOT::UDT_ELEGANCE_UNCOVER.md	B1_FOUNDING;B5_JOINT	2	NO
UDT_ELEGANT_FRAME.md	ROOT::UDT_ELEGANT_FRAME.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md	ROOT::UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md	B5_JOINT	1	NO
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	ROOT::UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	B5_JOINT	1	NO
UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	ROOT::UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md	ROOT::UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md	ROOT::UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md	B5_JOINT	1	NO
UDT_H3_BOUNDARY_VIRIAL_CLOSURE_BEFORE_F_DISPATCH.md	ROOT::UDT_H3_BOUNDARY_VIRIAL_CLOSURE_BEFORE_F_DISPATCH.md	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO
UDT_H3_CORRECTED_G_THEN_F_SEQUENCING_DISPATCH.md	ROOT::UDT_H3_CORRECTED_G_THEN_F_SEQUENCING_DISPATCH.md	B4_GLOBAL;B5_JOINT	2	NO
UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	ROOT::UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	B1_FOUNDING;B3_LIFT;B5_JOINT	3	NO
UDT_METHOD_MUSIC.md	ROOT::UDT_METHOD_MUSIC.md	B1_FOUNDING;B3_LIFT;B5_JOINT	3	NO
UDT_NATIVE_ACTION_ARM_C_INPUT_SHA256SUMS_2026-07-18.txt	ROOT::UDT_NATIVE_ACTION_ARM_C_INPUT_SHA256SUMS_2026-07-18.txt	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_NATIVE_ACTION_ARM_C_LAUNCH_RECORD_2026-07-18.md	ROOT::UDT_NATIVE_ACTION_ARM_C_LAUNCH_RECORD_2026-07-18.md	B5_JOINT	1	NO
UDT_NATIVE_ACTION_ARM_C_RETURN_2026-07-18.md	ROOT::UDT_NATIVE_ACTION_ARM_C_RETURN_2026-07-18.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	ROOT::UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_NATIVE_ACTION_COLD_PACKET.md	ROOT::UDT_NATIVE_ACTION_COLD_PACKET.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	ROOT::UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_NATIVE_ACTION_FINAL_ADJUDICATION_PREREG_2026-07-18.md	ROOT::UDT_NATIVE_ACTION_FINAL_ADJUDICATION_PREREG_2026-07-18.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_NATIVE_ACTION_FINAL_ADJUDICATION_RETURN_2026-07-18.md	ROOT::UDT_NATIVE_ACTION_FINAL_ADJUDICATION_RETURN_2026-07-18.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_NATIVE_ACTION_STAGE1_LAUNCH_RECORD_2026-07-17.md	ROOT::UDT_NATIVE_ACTION_STAGE1_LAUNCH_RECORD_2026-07-17.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_NATIVE_ACTION_STAGE1_RETURN_2026-07-18.md	ROOT::UDT_NATIVE_ACTION_STAGE1_RETURN_2026-07-18.md	B4_GLOBAL;B5_JOINT	2	NO
UDT_NATIVE_ACTION_STAGE2_A1_A6_SHA256SUMS_2026-07-18.txt	ROOT::UDT_NATIVE_ACTION_STAGE2_A1_A6_SHA256SUMS_2026-07-18.txt	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_NATIVE_ACTION_STAGE2_LAUNCH_RECORD_2026-07-18.md	ROOT::UDT_NATIVE_ACTION_STAGE2_LAUNCH_RECORD_2026-07-18.md	B4_GLOBAL;B5_JOINT	2	NO
UDT_NATIVE_ACTION_STAGE2_RETURN_2026-07-18.md	ROOT::UDT_NATIVE_ACTION_STAGE2_RETURN_2026-07-18.md	B4_GLOBAL;B5_JOINT	2	NO
UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	ROOT::UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	ROOT::UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	B1_FOUNDING;B5_JOINT	2	NO
UDT_NATIVE_HOPFION_STARTUP_INTEGRATION_PREREG_2026-07-19.md	ROOT::UDT_NATIVE_HOPFION_STARTUP_INTEGRATION_PREREG_2026-07-19.md	B4_GLOBAL;B5_JOINT	2	NO
UDT_NATURE_LEAN_FRAME.md	ROOT::UDT_NATURE_LEAN_FRAME.md	B1_FOUNDING;B5_JOINT	2	NO
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	ROOT::UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	B1_FOUNDING;B5_JOINT	2	NO
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	ROOT::UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	B1_FOUNDING;B5_JOINT	2	NO
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	ROOT::UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	B1_FOUNDING;B5_JOINT	2	NO
UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	ROOT::UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_SCIENTIFIC_CHECKPOINT_INTEGRATION_PREREG_2026-07-19.md	ROOT::UDT_SCIENTIFIC_CHECKPOINT_INTEGRATION_PREREG_2026-07-19.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	ROOT::UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES
UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md	ROOT::UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md	B1_FOUNDING	1	NO
UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	ROOT::UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	B1_FOUNDING;B5_JOINT	2	NO
angular_completeness_results.md	ROOT::angular_completeness_results.md	B1_FOUNDING;B3_LIFT;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/AUDIT_REPORT.md	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/CATCH_PROOFS.tsv	angular_derivative_weight_selector_2026-07-20	B5_JOINT	1	NO
angular_derivative_weight_selector_2026-07-20/COMPLETENESS_SCOPE.tsv	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/COUNTERFAMILY_LEDGER.tsv	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/DERIVATION_RESULT.json	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/DERIVATION_TRANSCRIPT.txt	angular_derivative_weight_selector_2026-07-20	B5_JOINT	1	NO
angular_derivative_weight_selector_2026-07-20/EXECUTION_LEDGER.tsv	angular_derivative_weight_selector_2026-07-20	B5_JOINT	1	NO
angular_derivative_weight_selector_2026-07-20/EXECUTION_RESULT.json	angular_derivative_weight_selector_2026-07-20	B5_JOINT	1	NO
angular_derivative_weight_selector_2026-07-20/INVARIANT_LEDGER.tsv	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/ISOLATED_VERIFICATION_TRANSCRIPT.txt	angular_derivative_weight_selector_2026-07-20	B5_JOINT	1	NO
angular_derivative_weight_selector_2026-07-20/LAY_DECISION_TREE.md	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B5_JOINT	2	NO
angular_derivative_weight_selector_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/PREREGISTRATION.md	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/REPOSITORY_GATES.json	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
angular_derivative_weight_selector_2026-07-20/SHA256SUMS.txt	angular_derivative_weight_selector_2026-07-20	B5_JOINT	1	NO
angular_derivative_weight_selector_2026-07-20/SOURCE_ADJUDICATION.tsv	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/SOURCE_CENSUS.tsv	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
angular_derivative_weight_selector_2026-07-20/STATUS_LEDGER.tsv	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/TEST_TRANSCRIPT.txt	angular_derivative_weight_selector_2026-07-20	B5_JOINT	1	NO
angular_derivative_weight_selector_2026-07-20/VERIFICATION_RESULT.json	angular_derivative_weight_selector_2026-07-20	B4_GLOBAL;B5_JOINT	2	NO
angular_derivative_weight_selector_2026-07-20/VERIFICATION_TRANSCRIPT.txt	angular_derivative_weight_selector_2026-07-20	B5_JOINT	1	NO
angular_derivative_weight_selector_2026-07-20/build_source_adjudication.py	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_derivative_weight_selector_2026-07-20/build_source_census.py	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
angular_derivative_weight_selector_2026-07-20/derive_angular_weight_selector.py	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
angular_derivative_weight_selector_2026-07-20/run_audit_replays.py	angular_derivative_weight_selector_2026-07-20	B5_JOINT	1	NO
angular_derivative_weight_selector_2026-07-20/verify_angular_weight_selector.py	angular_derivative_weight_selector_2026-07-20	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
angular_derivative_weight_selector_2026-07-20/verify_repository_gates.py	angular_derivative_weight_selector_2026-07-20	B3_LIFT;B5_JOINT	2	NO
angular_lagrangian_results.md	ROOT::angular_lagrangian_results.md	B1_FOUNDING;B5_JOINT	2	NO
angular_lagrangian_verifier_results.md	ROOT::angular_lagrangian_verifier_results.md	B5_JOINT	1	NO
angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/CANDIDATE_FAMILY.tsv	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/DERIVATION_RESULT.json	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/DERIVATION_TRANSCRIPT.txt	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/EXTERNAL_ADVERSARIAL_REVIEW.md	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/LAY_DECISION_TREE.md	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/PREREGISTRATION.md	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
angular_toric_closure_selector_2026-07-19/REPOSITORY_GATES.json	angular_toric_closure_selector_2026-07-19	B5_JOINT	1	NO
angular_toric_closure_selector_2026-07-19/SHA256SUMS.txt	angular_toric_closure_selector_2026-07-19	B5_JOINT	1	NO
angular_toric_closure_selector_2026-07-19/SOURCE_INVENTORY.tsv	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/VERIFICATION_RESULT.json	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/VERIFICATION_TRANSCRIPT.txt	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/build_source_inventory.py	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
angular_toric_closure_selector_2026-07-19/derive_angular_toric_selector.py	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
angular_toric_closure_selector_2026-07-19/verify_angular_toric_selector.py	angular_toric_closure_selector_2026-07-19	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
archive/ALGEBRAIC_MATTER_PATH_PLAN.md	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	YES
archive/B1_mass_dilation_cost_results.md	archive	B5_JOINT	1	YES
archive/B1_nativeness_verifier_results.md	archive	B5_JOINT	1	YES
archive/B2_phi_angular_spectrum_results.md	archive	B4_GLOBAL;B5_JOINT	2	YES
archive/CATALOG_FRAME.md	archive	B4_GLOBAL;B5_JOINT	2	YES
archive/COMPLETION_PROGRAM.md	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	YES
archive/CRITICAL_UNIVERSE_FRAME.md	archive	B4_GLOBAL;B5_JOINT	2	YES
archive/DYNAMIC_SCALE_SYNTHESIS.md	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	YES
archive/EVERYTHING_ON_SOLVER_BUILD_MAP.md	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	YES
archive/EVERYTHING_ON_SOLVER_P2_MAP.md	archive	B5_JOINT	1	YES
archive/EVERYTHING_ON_SOLVER_P5_MAP.md	archive	B5_JOINT	1	YES
archive/EVERYTHING_ON_SOLVER_P5e_MAP.md	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	YES
archive/EVERYTHING_ON_SOLVER_P5e_REMAP_derived_operator.md	archive	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	YES
archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md	archive	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	YES
archive/LIVE_2026-07-05_evening_arc.md	archive	B1_FOUNDING;B5_JOINT	2	YES
archive/LIVE_2026-07-06_EOD1_readout_provenance_arc.md	archive	B5_JOINT	1	YES
archive/LIVE_H3_H4_arc_2026-07-05.md	archive	B5_JOINT	1	YES
archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	archive	B5_JOINT	1	YES
archive/LIVE_h3_stability_layers_2026-07-11_12.md	archive	B1_FOUNDING;B5_JOINT	2	YES
archive/LIVE_historical_frontier_through_2026-07-08.md	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	YES
archive/LIVE_hopfion_H3_arc_2026-07-05.md	archive	B5_JOINT	1	YES
archive/LIVE_native_frame_round_static_2026-07-01.md	archive	B4_GLOBAL;B5_JOINT	2	YES
archive/LIVE_route_fork_E2_arc_2026-07-04.md	archive	B1_FOUNDING;B2_DEPTH;B4_GLOBAL;B5_JOINT	4	YES
archive/LIVE_stability_stageD_microphysics_arc_2026-07-03_04.md	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	YES
archive/LIVE_stage2_static_arc_2026-07-06.md	archive	B4_GLOBAL;B5_JOINT	2	YES
archive/LIVE_universe_cell_ladder_arc_2026-07-02.md	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	YES
archive/LIVE_xmax_homogeneity_detour_2026-07-07.md	archive	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	YES
archive/LLM.md	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	YES
archive/LLM_cover_note.md	archive	B5_JOINT	1	YES
archive/M10_M11_object_identity_closure_results.md	archive	B5_JOINT	1	YES
archive/M12_winding_bc_closure_results.md	archive	B1_FOUNDING;B5_JOINT	2	YES
archive/MIGRATION.md	archive	B4_GLOBAL;B5_JOINT	2	YES
archive/P5c_regrade_derived_operator_results.md	archive	B1_FOUNDING;B5_JOINT	2	YES
archive/POST_POSTULATE_PROGRAM.md	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	YES
