group	text_files	hit_files	buckets	bucket_count	qualifies	candidate_files
ROOT::angular_lagrangian_verifier_results.md	1	1	B5_JOINT	1	NO	0
ROOT::artifact_manifest.json	1	0		0	NO	0
ROOT::b1prime_3d_offround_residual.py	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::basin_audit_manifest.json	1	0		0	NO	0
ROOT::branchP_solver_floor_xcontinuation_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::branch_operator.py	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::branch_operator_contamination_ledger.md	1	1	B5_JOINT	1	NO	0
ROOT::cascade_bv10_E2_period.py	1	0		0	NO	0
ROOT::cascade_bv10_E2_symbolic.py	1	0		0	NO	0
ROOT::cascade_bv10_E3_bottom.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv10_assembly.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_bv10_cas.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_bv10_reshoot.py	1	0		0	NO	0
ROOT::cascade_bv11_lib.py	1	1	B3_LIFT;B4_GLOBAL	2	NO	0
ROOT::cascade_bv11_v1_root.py	1	1	B4_GLOBAL	1	NO	0
ROOT::cascade_bv11_v1_scan.py	1	0		0	NO	0
ROOT::cascade_bv11_v1_tolcheck.py	1	0		0	NO	0
ROOT::cascade_bv11_v2_desert.py	1	0		0	NO	0
ROOT::cascade_bv11_v3_cap.py	1	1	B4_GLOBAL	1	NO	0
ROOT::cascade_bv11_v4_cas.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_bv11_v5_product.py	1	0		0	NO	0
ROOT::cascade_bv13_backgrounds.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv13_matrices.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_bv13_matrices2.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv13_su_trans.py	1	0		0	NO	0
ROOT::cascade_bv13_vhat_probe.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_bv13_w1_classes.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_bv13_w1_machinery.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_bv13_w2_w3cas.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_bv13_w5_homothety.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv14_counts.py	1	0		0	NO	0
ROOT::cascade_bv14_lib.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv14_shoot.py	1	1	B3_LIFT;B4_GLOBAL	2	NO	0
ROOT::cascade_bv14_spare_a_sens.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv14_su.py	1	0		0	NO	0
ROOT::cascade_bv14_summary.py	1	1	B3_LIFT;B4_GLOBAL	2	NO	0
ROOT::cascade_bv14_tolsweep.py	1	0		0	NO	0
ROOT::cascade_bv14_validate.py	1	1	B3_LIFT;B4_GLOBAL	2	NO	0
ROOT::cascade_bv15_asm.py	1	0		0	NO	0
ROOT::cascade_bv15_bg.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv15_x1_ladder.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv15_x1_validate.py	1	0		0	NO	0
ROOT::cascade_bv15_x2_anatomy.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_bv15_x3_c2.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv15_x3_ray.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv16_cas.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv16_rungs.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_bv5_c1_scan.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv5_c1c2c3_roots.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv5_c4_bigN.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv5_c4_floor_audit.py	1	0		0	NO	0
ROOT::cascade_bv5_c4_refine.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv5_c5_stuck.py	1	0		0	NO	0
ROOT::cascade_bv5_common.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv6_c1_refine.py	1	0		0	NO	0
ROOT::cascade_bv6_c1_sweep.py	1	0		0	NO	0
ROOT::cascade_bv6_c2.py	1	0		0	NO	0
ROOT::cascade_bv6_c4.py	1	0		0	NO	0
ROOT::cascade_bv6_lib.py	1	1	B4_GLOBAL	1	NO	0
ROOT::cascade_bv6_probe.py	1	0		0	NO	0
ROOT::cascade_bv6_xcheck.py	1	0		0	NO	0
ROOT::cascade_bv7_core.py	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::cascade_bv7_t1_refine.py	1	0		0	NO	0
ROOT::cascade_bv7_t1_sweep.py	1	0		0	NO	0
ROOT::cascade_bv7_t2.py	1	0		0	NO	0
ROOT::cascade_bv7_t3.py	1	0		0	NO	0
ROOT::cascade_bv7_validate.py	1	1	B3_LIFT;B4_GLOBAL	2	NO	0
ROOT::cascade_bv8_cas_ABC.py	1	0		0	NO	0
ROOT::cascade_bv8_falsifiers.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv8_falsifiers_out.txt	1	0		0	NO	0
ROOT::cascade_bv9_cas.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_bv9_fluxlaw_char.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv9_reshoot.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv9_reshoot_Z1.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_bv9_tables.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_characterization_miniMAP.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::cascade_lemD_bessel.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_lemD_cas.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_lemD_final.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_lemD_reshoot.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_lemD_table.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_lemD_universal.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_or_energy_cas.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_or_energy_numeric.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_or_energy_rung1_and_alignment.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_s2_aggregate.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_s2_core.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_s2_final_table.json	1	0		0	NO	0
ROOT::cascade_s2_validate.py	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::cascade_s3_lib.py	1	0		0	NO	0
ROOT::cascade_s3_predictions.md	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::cascade_s3_t1_t4.py	1	0		0	NO	0
ROOT::cascade_s3_t2_t3.py	1	0		0	NO	0
ROOT::cascade_s3_t5.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_s3_validate.py	1	0		0	NO	0
ROOT::cascade_sf_cas1_bulk.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_sf_cas2_endpoint.py	1	0		0	NO	0
ROOT::cascade_sf_cas4_zeromodes.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_sf_d5_spotcheck.py	1	1	B3_LIFT;B4_GLOBAL	2	NO	0
ROOT::cascade_sf_d5b_extra.py	1	0		0	NO	0
ROOT::cascade_stageA_extra.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_stageA_lib.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_stageA_results.json	1	0		0	NO	0
ROOT::cascade_stageA_results.md	1	0		0	NO	0
ROOT::cascade_stageA_run.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_stageA_sanity.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_stageB_above.py	1	0		0	NO	0
ROOT::cascade_stageB_analysis.py	1	1	B2_DEPTH;B3_LIFT	2	NO	0
ROOT::cascade_stageB_bisect.py	1	1	B2_DEPTH;B3_LIFT	2	NO	0
ROOT::cascade_stageB_common.py	1	1	B2_DEPTH;B3_LIFT	2	NO	0
ROOT::cascade_stageB_results.md	1	1	B5_JOINT	1	NO	0
ROOT::cascade_stageB_rungs.json	1	1	B2_DEPTH	1	NO	0
ROOT::cascade_stageB_sanity.py	1	0		0	NO	0
ROOT::cascade_stageB_sweep.json	1	0		0	NO	0
ROOT::cascade_stageB_sweep.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_stageB_twomethod.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_stageC_c1_A1m2_Z8.json	1	1	B2_DEPTH	1	NO	0
ROOT::cascade_stageC_c2_A1m3_Z1.json	1	1	B2_DEPTH	1	NO	0
ROOT::cascade_stageC_c3_A2k3_Z8.json	1	1	B2_DEPTH	1	NO	0
ROOT::cascade_stageC_c4_A3_Z8.json	1	1	B2_DEPTH	1	NO	0
ROOT::cascade_stageC_c5_A1m4_Z8.json	1	1	B2_DEPTH	1	NO	0
ROOT::cascade_stageC_lib.py	1	1	B2_DEPTH;B3_LIFT	2	NO	0
ROOT::cascade_stageC_primary_table.json	1	0		0	NO	0
ROOT::cascade_stageC_results.md	1	1	B5_JOINT	1	NO	0
ROOT::cascade_stageC_run.py	1	0		0	NO	0
ROOT::cascade_stageC_twomethod.json	1	0		0	NO	0
ROOT::cascade_stageD_prereg.md	1	1	B5_JOINT	1	NO	0
ROOT::cascade_stageD_results.md	1	1	B5_JOINT	1	NO	0
ROOT::cascade_stageD_sweep_refine.py	1	1	B2_DEPTH;B3_LIFT;B4_GLOBAL	3	NO	0
ROOT::cascade_stageD_sweep_scan.py	1	0		0	NO	0
ROOT::cascade_th2_bottom_beta.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cascade_th2_bottom_system.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_th2_cas_checks.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_th2_cas_kappa.py	1	0		0	NO	0
ROOT::cascade_th2_final_table.json	1	0		0	NO	0
ROOT::cascade_th2_final_table.py	1	0		0	NO	0
ROOT::cascade_th2_launch.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_th2_nodewise.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_th2_predict_measure.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_tw_cas.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_tw_confirm.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_tw_n1twin.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_tw_pred.py	1	1	B5_JOINT	1	NO	0
ROOT::cascade_tw_probe.py	1	1	B3_LIFT	1	NO	0
ROOT::cascade_tw_reshoot.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cell_solver_composite.py	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::cell_solver_f2d.py	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::cell_solver_f2d_BUILDNOTES.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::cell_solver_f2d_N2.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::cell_solver_f2d_N2_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::cell_solver_f2d_classB_run.py	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::cell_solver_f2d_classB_run_results.md	1	1	B5_JOINT	1	NO	0
ROOT::cell_solver_f2d_embedded_run.py	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::cell_solver_f2d_embedded_run_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::cell_solver_f2d_embedded_scan.py	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::cell_solver_f2d_first_build.py	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::cell_solver_f2d_first_build_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::cell_solver_round.py	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::cell_solver_universe_T3.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::check_winding_survival.py	1	0		0	NO	0
ROOT::classB_embedded_rung_gatecheck_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::classB_rung_resonance_classification_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::classB_rung_resonance_owed_first_adjudication.md	1	1	B5_JOINT	1	NO	0
ROOT::classB_rung_resonance_prebuild_test_DESIGN.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::classify_rung_resonance.py	1	0		0	NO	0
ROOT::codex_rehearsal_final.md	1	1	B5_JOINT	1	NO	0
ROOT::codex_rehearsal_transcript.txt	1	1	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO	0
ROOT::cognitive_corral_triggers_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::complete_metric_sweep_stageB_data.json	1	0		0	NO	0
ROOT::controlled_relax_hessian.py	1	0		0	NO	0
ROOT::controlled_relax_hessian_out.json	1	0		0	NO	0
ROOT::cosine_native_reconciliation_results.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::cosine_reconciliation_check.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::d1_angular_constants_native_rederivation.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::d1_bv_n3_attack.py	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::d1_bv_q13_steelman.py	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::d1_charge_channel_projection_MAP.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::d1_charge_channel_projection_cas.py	1	1	B5_JOINT	1	NO	0
ROOT::d1_rederive_eta18.py	1	1	B1_FOUNDING;B3_LIFT;B5_JOINT	3	NO	0
ROOT::d1_rederive_n3.py	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::d1_rederive_q13.py	1	1	B1_FOUNDING;B3_LIFT;B5_JOINT	3	NO	0
ROOT::d2_bv_algebra.py	1	1	B5_JOINT	1	NO	0
ROOT::d2_bv_e0_numeric.py	1	0		0	NO	0
