id	path	authority	role	scale_information	current_ruling
R11	asymptotic_boundary_lineage_audit_2026-07-19/GLOBAL_CLOSURE_EQUATION_LEDGER.tsv	CURRENT_EVIDENCE	Unknown/equation inventory	Identifies rho definition compactness and required homothety-breaking equation	AFFIRMATIVE_OPEN_LEDGER
R12	asymptotic_boundary_lineage_audit_2026-07-19/MASS_PROVENANCE_LEDGER.tsv	CURRENT_EVIDENCE	Mass provenance	Separates GR readouts conditional carrier mass and absent native normalized mass	AFFIRMATIVE_PROVENANCE_BOUNDARY
R13	asymptotic_boundary_lineage_audit_2026-07-19/QUANTITY_LIMIT_LEDGER.tsv	CURRENT_EVIDENCE	Exact boundary quantity limits	Records X powers for reach volume curvature flux and open native mass	AFFIRMATIVE_SCOPED_SCALARS
R14	native_boundary_generator_scale_audit_2026-07-19/AUDIT_REPORT.md	CURRENT_EVIDENCE	Boundary flux and scale rank	Proves raw flux budget action ambiguity and homogeneous M-X rank defect	AFFIRMATIVE_SCOPED_RANK
R15	native_boundary_generator_scale_audit_2026-07-19/CHARGE_REQUIREMENT_LEDGER.tsv	CURRENT_EVIDENCE	Charge completeness	Lists absent action primitive generator normalization reference and conservation	AFFIRMATIVE_OPEN_CHARGE_LEDGER
R16	native_boundary_generator_scale_audit_2026-07-19/SCALE_CLOSURE_LEDGER.tsv	CURRENT_EVIDENCE	Scale equation inventory	Shows c_E/G_obs give M/L; density center or scale eigenvalue is absent	AFFIRMATIVE_SCALE_LEDGER
R17	clock_curvature_selector_audit_2026-07-19/AUDIT_REPORT.md	CURRENT_EVIDENCE	Post-scale profile identity	Clock-curvature selects WR-L if supplied but is not CSN-covariant/native pre-scale law	UNIQUE_CONDITIONAL_PROFILE_ONLY
R18	clock_curvature_selector_audit_2026-07-19/STATUS_LEDGER.tsv	CURRENT_EVIDENCE	Clock-curvature claim ledger	Keeps representative action source boundary charge Xmax and mass open	AFFIRMATIVE_STATUS_BOUNDARY
R19	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	PARENT_CURRENT_EVIDENCE	Representative and Xmax audit	Endpoint-flat CSN family separates global endpoint scale from local interior representative	AFFIRMATIVE_BOUNDED_COUNTERFAMILY
R20	boundary_bootstrap_representative_selector_audit_2026-07-19/SELECTOR_CANDIDATE_LEDGER.tsv	PARENT_CURRENT_EVIDENCE	Prior candidate classification	No current boundary/bootstrap/Xmax candidate selects the physical CSN section	AFFIRMATIVE_SCOPED_CENSUS
R21	boundary_bootstrap_representative_selector_audit_2026-07-19/SELECTOR_REQUIREMENT_MATRIX.tsv	PARENT_CURRENT_EVIDENCE	Selector gates	All prior representative candidates fail at least one registered gate	AFFIRMATIVE_REQUIREMENT_EVIDENCE
R22	boundary_bootstrap_representative_selector_audit_2026-07-19/DERIVATION_RESULT.json	PARENT_CURRENT_EVIDENCE	Exact counterfamily algebra	Replays homothety/Xmax invariance and local endpoint-flat degeneracy	AFFIRMATIVE_EXACT_ALGEBRA
R23	xmax_reciprocity_audit_2026-07-19/AUDIT_REPORT.md	CONDITIONAL_MATH	Dimensionless positional reciprocity	Fractional law is exact within supplied XR1 premises but not foundation-forced	CONDITIONAL_COMPATIBILITY_HYPOTHESIS
R24	xmax_reciprocity_audit_2026-07-19/STATUS_LEDGER.tsv	CONDITIONAL_MATH	Xmax claim ledger	Explicitly says Xmax does not fix local CSN representative or action	CONDITIONAL_STATUS_ONLY
R25	xmax_reciprocity_audit_2026-07-19/DERIVATION_RESULT.json	CONDITIONAL_MATH	Exact fractional/group algebra	Provides dimensionless composition witness; physical frame interpretation withdrawn	CONDITIONAL_ALGEBRA_ONLY
R26	bootstrap_variation_selector_2026-07-18/DERIVATION_REPORT.md	POST_FIREWALL_EVIDENCE	Variation placement	Bootstrap remains on-shell admissibility and does not select off-shell domain	AFFIRMATIVE_UNDERDETERMINATION
R27	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	POST_FIREWALL_EVIDENCE	Bootstrap status	No native representative map or complete action follows	AFFIRMATIVE_STATUS_BOUNDARY
R28	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	HARD_FROZEN	Action/source/mass status	Complete action source boundary charge open; current mass routes conditional	FROZEN_AFFIRMATIVE_STATUS
R29	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	HARD_FROZEN	Action adjudication	Supplies failure/countermodel bounds and conditional action routes, not scale closure	FROZEN_CONTEXT_NO_NEW_SCALE
R30	angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	CURRENT_EVIDENCE	Topological/angular scale rank	Topology/Hopf integers and normalized orbit block are dimensionless and carrier-conditional	AFFIRMATIVE_DIMENSIONLESS_ONLY
R31	noNull_phaseG_mass_results.md	POST_FIREWALL_PARTICLE_EVIDENCE	Conditional mass readouts	Depends on EH/carrier/finite-volume premises and cannot supply native total-universe mass	CONDITIONAL_PARTICLE_READOUT
R32	noNull_boundary_virial_results.md	POST_FIREWALL_PARTICLE_EVIDENCE	Finite-box boundary/virial behavior	Scoped static carrier evidence; no native global scale equation	CONDITIONAL_SCOPED_BEHAVIOR
R33	stability_branch_follow_256_DECISION.md	POST_FIREWALL_PARTICLE_EVIDENCE	Static finite-box stability	Stable solution is carrier/box/operator conditional and not a complete time-live bootstrap theorem	CONDITIONAL_STABILITY_ONLY
