path	root_requirement	reason	release_gate	source_basis
noNull_boundary_virial_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_boxscout_build.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_boxscout_observables.json	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_energy.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE;PYTHON_OR_TEST_IMPORT
noNull_hess_h2fit_log.txt	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_hess_refine.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_hess_refine_256_log.txt	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_hess_residual_diag.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_phaseG_mass.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_phaseG_mass_ALL.json	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_phaseG_mass_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_precond.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE;PYTHON_OR_TEST_IMPORT
noNull_resolve.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_schur_inertia.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_schur_inertia_ALL.json	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_schur_verify.json	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_schur_verify.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_virial_identity_derivation.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
p1_residual_general_einstein.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
particle_spectrum_native_geometry.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
pre_native_era_census.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
pytest.ini	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	CONTROL
simple_metric_Charles_rulings_center_dS_2026-07-09.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_DA_native_derive.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE;PYTHON_OR_TEST_IMPORT
simple_metric_EOS_power_window_dS_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_F1_F2_dual_explore.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_F1_complete.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_F2_completeness.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_FE_rederive.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_GR_corpus_mine_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_HL_unification_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_J1_honesty_skeleton_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_KA_develop.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_KA_outer_and_matter.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_L_equivalence_principle_GAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_L_native_optical_derive_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_L_wall_regularity_closure_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_Pell_mass_lock_derive.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE;PYTHON_OR_TEST_IMPORT
simple_metric_R1_path_proper_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_S9_native_action_honesty_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_WR_L_center_invariants_second_pass_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_WR_L_center_nogo_atlas_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_WR_L_center_recenter_exclusion_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_WR_L_external_triple_blind_audit_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_alpha_restoring_probe_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_angular_on_solution_space_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_bao_proper_pass_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_bao_pure_AP_character_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_c_analogy_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_cascade_C2_C5_J1.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_center_dS_external_verify_pass_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_cross_sector_root_check.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE;PYTHON_OR_TEST_IMPORT
simple_metric_dS_native_any_alpha_closed_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_distance_profile_dimensional_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE;PYTHON_OR_TEST_IMPORT
simple_metric_freeDA_lowz_observe_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_freeDA_unquarantine_HUNT.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
