path	status	kind	object_type	size_bytes_lstat	mode_lstat	original_path	content_sha256	firewall
scratchpad/nk_full.stdout	??	UNTRACKED	regular_file	2002	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/nk_smoke.stdout	??	UNTRACKED	regular_file	473	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/nkpc_full.stdout	??	UNTRACKED	regular_file	219	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/nkpc_smoke.stdout	??	UNTRACKED	regular_file	500	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_hess_U1.stdout	??	UNTRACKED	regular_file	6286	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_hess_full.stdout	??	UNTRACKED	regular_file	11308	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_hess_smoke.stdout	??	UNTRACKED	regular_file	544	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_relax2_smoke.stdout	??	UNTRACKED	regular_file	646	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_relax_fixed_smoke.stdout	??	UNTRACKED	regular_file	1373	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_relax_smoke.stdout	??	UNTRACKED	regular_file	553	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_relaxcg_full.stdout	??	UNTRACKED	regular_file	3949	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_relaxcg_smoke.stdout	??	UNTRACKED	regular_file	632	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_relaxlbfgs_full.stdout	??	UNTRACKED	regular_file	2396	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_relaxlbfgs_smoke.stdout	??	UNTRACKED	regular_file	637	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_resolve.stdout	??	UNTRACKED	regular_file	2420	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/noNull_resolve_stage2.stdout	??	UNTRACKED	regular_file	4052	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/nrx.stdout	??	UNTRACKED	regular_file	695	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/nrx_lbfgs.stdout	??	UNTRACKED	regular_file	1278	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/phaseB_256.py	??	UNTRACKED	regular_file	3928	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/phaseB_256_clean.py	??	UNTRACKED	regular_file	4588	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/phaseB_256_relaxed.py	??	UNTRACKED	regular_file	4209	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/phaseB_scaling.py	??	UNTRACKED	regular_file	3453	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/rj_test_128.stdout	??	UNTRACKED	regular_file	9744	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/stability_branch_follow_256.stdout	??	UNTRACKED	regular_file	4674	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/stability_eigenmode_256.stdout	??	UNTRACKED	regular_file	4496	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/test_save_summary.py	??	UNTRACKED	regular_file	1691	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
