path	sha256	missing_requirements	introducing_commit	introducing_commit_time	fixed_snapshot_status
simple_metric_kaleidoscope_K1_results.md	ac27b54205a9e826eb91b263f14e96c96c63568b83a13030ae69dc32b416ca93	PREMISE_LEDGER;OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_kaleidoscope_K2_results.md	e1ffad134e1ed2ace610de534241ab2552733cbb5dedd3ed830a4b60f02776f3	VERIFIER_STATUS	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_kaleidoscope_K3_results.md	6e943918a258ab9c253ec368f75dbc09707ffe0219bf8545c6db85202681f5c2	VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_kaleidoscope_K4_results.md	3b242308f5dfd034c8ebb1b34ab1d8fe6e1d82cd65860e2205ec889223620507	VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_kaleidoscope_MINE_results.md	8ad11c3c430a4af107eea855bf05d27b8bde4e639391ef0eaeac38158e6f077e	VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_local_cavity_HG_results.md	51af199c89aa70fdab18403118a8b0dfe95789a5d27be8901e325b90d8f282f6	VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_relational_rooms_continue_results.md	9c4254a8c99768a3195587aabac62afd789727f5af9d48cf11426ac97b20b41d	VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_rooms_filled_local_results.md	e539b5dddaa0f6f7db36876feffc05f41bc6f63c4b2e2e81f0532b36a5d07008	VERIFIER_STATUS	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_skeleton_reach_closure_results.md	10d1c2ab33f7a61bbce3076934a3e601ab5403686e09ec1f23046d5be5ab101f	VERIFIER_STATUS	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_timelive_AP_exact_derive_results.md	3b03f743798c4cf9e1640240a2297967ebdc91dbf55b579f4ab4bdb823e4518f	VERIFIER_STATUS;NOT_CLAIMED	4fceef79efd1fd631c32f00f8599df99f783dda2	2026-07-09T20:49:05-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_timelive_AP_intermediate_results.md	9a65c20b0f4917596d53a847b591d34532079d5263bd5f363423aa02730e86b2	OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_timelive_AP_results.md	e2054053dea49fa522adef302a8a4096b5ab230852538c009433cb2ce57058c3	VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
