slot_id	symbol	meaning	type_or_rank	constraint_class	local_status	gauge_behavior	selected_physical_dof_count	controlling_source
V23	o_p	typed observer/ruler datum at event p	query_object	DEFINED	PHYSICAL_OBJECT_SET_OPEN	observer-frame covariant	NOT_A_MODE_COUNT	udt_complete_physical_comparison_map_audit_2026-07-27/AXIOM_LEDGER.tsv
V24	gamma	typed path from p to q	path_groupoid_arrow	DEFINED	PATH_SEMANTICS_OPEN	reparameterization and endpoint typing	NOT_A_MODE_COUNT	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/AUDIT_REPORT.md
V25	rho_gamma	signed additive depth on supplied arrow	real_dimensionless_cocycle	CONDITIONAL_EQUATION	ABSTRACT_DERIVED_PHYSICAL_OPEN	order reversal	NOT_A_MODE_COUNT	udt_founding_reciprocity_object_audit_2026-07-27/STATUS_LEDGER.tsv
V26	U_gamma	parallel coframe transport along gamma	linear_isomorphism	CONDITIONAL_EQUATION	AVAILABLE_CONDITIONAL_EXACT	endpoint frame conjugation	NOT_A_MODE_COUNT	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/AUDIT_REPORT.md
V27	C_gamma	(D_phi(rho_gamma),U_gamma)	reducible_comparison_datum	CONDITIONAL_EQUATION	AVAILABLE_CONDITIONAL_EXACT	path-labelled	NOT_A_MODE_COUNT	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md
V28	T_ij	transition data on U_i intersect U_j	bundle_transition_map	OPEN_LAW_SLOT	OPEN_COMPLETE_GLUE	cocycle and equivariance	NOT_A_MODE_COUNT	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/STATUS_LEDGER.tsv
V29	q_completion	completion topology quotient cap seam or cell label	discrete_plus_moduli_sector	DEFINED	BOUNDED_TAXONOMY_OPEN_SELECTION	sector equivalence	NOT_A_MODE_COUNT	udt_global_metric_assembly_atlas_2026-07-22/STATUS_LEDGER.tsv
V30	b_boundary	boundary seal corner orientation and gluing data	boundary_configuration	OPEN_LAW_SLOT	OPEN_GLOBAL_DATA	boundary gauge open	OPEN	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv
V31	c_E	observed time-length calibration	positive_dimensional_constant	OBSERVATIONAL_ANCHOR	OBSERVED_ACTIVE	unit conversion	NOT_A_MODE_COUNT	CURRENT_SCIENTIFIC_PREMISES.tsv
V32	G_obs	observed gravitational calibration	positive_dimensional_constant	OBSERVATIONAL_ANCHOR	OBSERVED_ACTIVE	unit conversion and native placement open	NOT_A_MODE_COUNT	CURRENT_SCIENTIFIC_PREMISES.tsv
V33	q	complete configuration section	section_of_configuration_bundle	OPEN_LAW_SLOT	OPEN_GLOBAL_DOMAIN	modulo presentation gauge	OPEN_NATIVE_REDUCED_RANK	udt_native_stability_configuration_space_audit_2026-08-01/CONFIGURATION_OBJECT_LEDGER.tsv
V34	delta_q	admissible physical variation	configuration_tangent_or_jet	OPEN_LAW_SLOT	OPEN_VARIATION_DOMAIN	gauge quotient and boundary behavior open	OPEN	udt_native_stability_configuration_space_audit_2026-08-01/AUDIT_REPORT.md
V35	F_UDT	native covariant equation or response	operator_type_and_codomain_open	OPEN_LAW_SLOT	ABSENT	must descend under gauge and charts	NOT_YET_DEFINED	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md
V36	B_native	native boundary or completion operator	boundary_operator_type_open	OPEN_LAW_SLOT	ABSENT	boundary gauge and differentiability open	NOT_YET_DEFINED	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv
V37	R_boot	global-local return or admissibility operation	map_type_open	OPEN_LAW_SLOT	WORKING_ON_SHELL_ONLY	global invariant typing open	NOT_YET_DEFINED	CURRENT_SCIENTIFIC_PREMISES.tsv
V38	D_g	observer-pair separation functional	bilocal_or_path_family_functional	OPEN_LAW_SLOT	WORKING_SCHEMA	observer/path domain open	NOT_A_MODE_COUNT	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md
V39	Xmax	supremum of D_g over admitted observer pairs	global_scalar_if_defined	OPEN_LAW_SLOT	WORKING_SCHEMA_NO_VALUE	no center or edge implied	NOT_A_MODE_COUNT	CURRENT_SCIENTIFIC_PREMISES.tsv
V40	J_matter	native carrier source persistence and mass data	type_open	OPEN_LAW_SLOT	ABSENT_UNCONDITIONAL	carrier and action premises explicit	NOT_YET_DEFINED	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv
