entry_id	expression_or_rule	entry_class	status	domain_or_premises	what_it_does_not_imply	controlling_source
G03	dtheta^a+omega^a_b_wedge_theta^b=0	GEOMETRIC_IDENTITY	DEFINED_LEVI_CIVITA	metric-compatible torsion-free connection	a native field equation	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
G04	omega_ab+omega_ba=0	GEOMETRIC_IDENTITY	DEFINED_METRIC_COMPATIBILITY	orthonormal coframe	a physical response law	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
G05	Omega=domega+omega_wedge_omega	GEOMETRIC_IDENTITY	DEFINED	connection curvature	a curvature equation or source law	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md
G06	T_ij_T_jk=T_ik_on_triple_overlaps	GEOMETRIC_IDENTITY	REQUIRED_OPEN_REALIZATION	global bundle glue	a selected topology or completion family	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/STATUS_LEDGER.tsv
G07	U_gamma2circgamma1=U_gamma2_U_gamma1	GEOMETRIC_IDENTITY	AVAILABLE_CONDITIONAL_EXACT	typed composable paths and Levi-Civita transport	physical path ontology	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/AUDIT_REPORT.md
G08	K_projector=sum_a(nabla_T_P_a)P_a	GEOMETRIC_IDENTITY	DERIVED_REGISTERED	fixed-rank self-adjoint projector family	physical time or dynamics	udt_global_metric_assembly_atlas_2026-07-22/STATUS_LEDGER.tsv
C01	delta_K(p,q)=log(sqrt(-g(K,K))_p/sqrt(-g(K,K))_q)	CONDITIONAL_EQUATION	DERIVED_BOUNDED	complete stationary branch with intrinsic timelike Killing line	arbitrary-observer depth or selected stationary universe	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md
C02	C_gamma=(D(rho_gamma),U_gamma)	CONDITIONAL_EQUATION	AVAILABLE_CONDITIONAL_EXACT	supplied typed path depth extension and transport	unique physical comparison semantics	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md
C03	dtheta_pair_and_screen_equal_registered_S3_first_jet_system	CONDITIONAL_EQUATION	DERIVED_BOUNDED	stationary off-shell block-screen R_times_S3 control	native field equation or generic spacetime branch	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
C04	P_phi=g_inverse(dphi)_tensor_dphi/s_phi	CONDITIONAL_EQUATION	DERIVED_LOCAL_WHERE_NON_NULL	s_phi_nonzero	physical branch selection or global foliation	udt_temporal_soldering_atlas_2026-07-22/STATUS_LEDGER.tsv
C05	Bach_equation_from_C2	CONDITIONAL_EQUATION	UNIQUE_CONDITIONAL_IN_INACTIVE_PRE_SCALE_BRANCH	strong local CSN plus pre-scale variation	native active UDT law	CURRENT_SCIENTIFIC_PREMISES.tsv
C06	Einstein_equation_from_EH	CONDITIONAL_EQUATION	CONDITIONAL_NOT_SELECTED	minimality and EH variation premises	native active UDT law	CURRENT_SCIENTIFIC_PREMISES.tsv
C07	Hopfion_Euler_Lagrange_from_S2_L2plusL4	CONDITIONAL_EQUATION	CONDITIONAL_CARRIER_BRANCH	S2 posit adopted L2plusL4 and finite box	native carrier source or unconditional mass	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md
A01	c_E_and_G_obs_supply_dimensional_calibration	OBSERVATIONAL_ANCHOR	OBSERVED	ordinary-regime measurement	native action profile Xmax or size closure	CURRENT_SCIENTIFIC_PREMISES.tsv
L01	global_equivariant_extension_bundle_and_transitions	OPEN_LAW_SLOT	OPEN	complete coframe and overlaps	a unique pointwise member need not be selected separately	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/STATUS_LEDGER.tsv
L02	physical_configuration_and_variation_domain	OPEN_LAW_SLOT	OPEN	global sections modulo presentation gauge	does not follow from generic F4_6 counting	udt_native_stability_configuration_space_audit_2026-08-01/AUDIT_REPORT.md
L03	F_UDT[q]=0_or_equivalent_native_response	OPEN_LAW_SLOT	OPEN	complete configuration domain and covariance target	action form locality and derivative order are not assumed	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md
L04	native_boundary_and_global_completion_condition	OPEN_LAW_SLOT	OPEN	finite-cell seam seal corner and transition data	external edge mirror or quotient is not selected	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv
L05	native_global_local_return_or_admissibility_relation	OPEN_LAW_SLOT	WORKING_ON_SHELL_ONLY	native global observables and local admissibility data	optimizer density scan or tuning theorem	CURRENT_SCIENTIFIC_PREMISES.tsv
L06	observer_pair_separation_and_Xmax_operator	OPEN_LAW_SLOT	WORKING_SCHEMA	complete metric pair domain and path semantics	numerical Xmax center edge or boundary	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md
L07	native_matter_source_carrier_persistence_and_mass	OPEN_LAW_SLOT	OPEN	parent law and complete matter variation domain	conditional topology or mass-bearing geometry as matter	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv
